Tickers,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
CRGE,"Charge Enterprises, Inc.",Technology ,,356870000.0,-74800000.0,528900000.0,0.22,0.25,,,188.0,Yes,Yes,2.0,,,,0.67,8.09,7.11,,1.2,1.2,0.79,0.72,-2.65,-0.4,-0.2,-0.07,-137.9,13.8,-,,,46.7,,,-19.33,14.6,-0.73,15.8,0.18,,,-100.2,3.1,-12.1,-14.1,,-53.39,188410000.0,97250000.0,6.0,8.69,4.75,1.54 - 8.46,-78.96,15.58,42.34,0.45,671380.0,299845.0,-3.78,5.33,-43.67,-74.09,-37.54,-49.43,,0.17,7.71 10.02,1.82,1.78,-2.2
CRK,"Comstock Resources, Inc.",Energy ,,4010000000.0,319000000.0,2680000000.0,5.48,0.14,,,205.0,Yes,Yes,2.3,15.09,3.34,0.75,1.49,3.06,124.06,13.65,0.6,0.6,1.97,1.97,-4.85,1.11,5.02,1.1,-188.7,36.17,,37.3,60.1,175.3,268.1,Nov 01 Ae6C,-8.84,1.9,3.73,35.2,0.16,6.5,33.3,14.8,84.0,57.3,11.9,0.0,16.37,232040000.0,80500000.0,20.26,4.55,22.36,6.88 - 22.11,-24.2,143.6,43.87,0.84,3580000.0,2996328.0,-4.45,3.33,7.02,1.27,71.72,107.17,1.37,1.14,5.53 6.21,16.53,16.76,1.39
CRM,"Salesforce, Inc.",Technology ,DJIA S&P500,157970000000.0,536000000.0,29320000000.0,60.28,13.76,,,73541.0,Yes,Yes,1.8,300.28,28.29,19.63,5.39,2.67,11.67,27.81,1.1,1.1,0.18,0.16,7.39,0.54,5.68,1.22,-66.3,19.81,,26.3,25.7,21.8,-87.9,Aug 24 Ae6C,1.17,0.1,-47.94,80.1,-0.1,0.6,0.9,0.6,72.6,0.0,1.8,0.0,-12.39,997000000.0,967420000.0,1.36,1.99,220.18,137.59 - 311.75,-48.47,16.76,59.51,0.94,6620000.0,6215129.0,9.15,9.28,-5.76,-7.97,-45.09,-36.78,1.11,5.89,3.76 3.58,160.17,160.65,0.3
CRNC,Cerence Inc.,Technology ,,631390000.0,-72700000.0,367800000.0,24.17,3.2,,,1700.0,Yes,Yes,2.5,,20.84,,1.72,0.66,4.96,82.0,1.7,1.7,0.29,0.28,0.92,-1.86,0.76,-0.23,332.3,-33.85,,4.0,12.9,-8.1,,Aug 09 e9e6O,-11.77,0.7,-8.38,,0.08,-4.4,-7.1,4.5,73.7,15.1,-19.8,,-49.87,39310000.0,38660000.0,11.17,8.13,29.64,14.09 - 114.85,-86.17,12.7,43.73,0.62,531310.0,330700.0,4.2,-2.87,-38.23,-47.71,-83.2,-79.28,,0.77,4.53 4.54,15.92,15.88,-0.25
CRNT,Ceragon Networks Ltd.,Technology ,,157530000.0,-15800000.0,294900000.0,1.57,0.28,,,1006.0,Yes,Yes,1.7,,23.62,,0.53,1.2,6.68,,1.2,1.6,0.24,0.0,3.93,-0.19,0.08,0.0,15.6,900.0,,-26.4,-0.2,3.1,11.7,Aug 01 e9e6O,-8.06,21.7,0.0,9.9,-1.49,-5.3,-11.4,-4.1,29.5,0.8,-5.3,,-11.06,84020000.0,65080000.0,0.73,1.29,4.0,1.53 - 3.54,-46.61,23.53,49.45,0.28,369630.0,101673.0,7.39,-1.05,-27.31,-1.05,-43.07,-26.74,1.32,0.07,3.55 3.82,1.88,1.89,0.53
CRSP,CRISPR Therapeutics AG,Healthcare ,,3970000000.0,-633500000.0,14800000.0,26.97,26.24,,,473.0,Yes,Yes,2.2,,,,268.01,1.87,1.92,,17.6,17.6,0.0,0.0,-16.09,-8.23,-7.83,-2.29,188.8,15.9,-,35.0,181.6,-100.0,-125.4,Aug 08 e9e6O,-22.94,0.4,-22.98,67.0,-3.22,-23.8,-27.4,15.5,,,,,-21.46,77510000.0,76940000.0,15.02,10.11,109.13,42.51 - 98.58,-48.87,18.56,29.85,0.84,1140000.0,960856.0,-10.53,-20.2,-34.65,-12.0,-47.26,-33.49,1.84,3.51,5.67 5.67,50.84,50.4,-0.87
CRWD,"CrowdStrike Holdings, Inc.",Technology ,,36290000000.0,-173200000.0,1830000000.0,5.27,10.09,,,6250.0,Yes,Yes,1.6,,84.39,,19.79,29.98,15.65,63.79,1.8,1.8,0.6,0.6,-2.21,-0.75,1.87,0.31,-143.0,41.39,,-13.4,94.1,58.5,16.3,Aug 30 Ae6C,-9.92,0.7,-10.94,77.1,0.26,-4.6,-16.1,-12.2,73.7,-7.4,-9.4,,-13.05,232550000.0,211950000.0,4.53,2.95,239.86,130.00 - 298.48,-47.08,21.52,44.79,0.63,3250000.0,2049151.0,4.19,-1.51,-6.62,-26.38,-44.26,-22.85,1.26,7.6,4.16 4.53,156.32,157.97,1.06
CSCO,"Cisco Systems, Inc.",Technology ,DJIA S&P500,174220000000.0,11810000000.0,51560000000.0,9.63,4.82,1.52,3.49,83300.0,Yes,Yes,2.5,15.46,11.45,2.31,3.38,4.52,9.04,26.7,1.3,1.4,0.24,0.21,6.33,2.82,3.8,0.84,12.7,7.67,,8.2,1.4,-0.2,-4.7,Nov 16 Ae6C,0.07,0.1,-2.59,75.1,0.21,12.5,29.1,22.9,62.5,27.1,22.9,52.6,-10.66,4130000000.0,4100000000.0,0.8,1.7,54.78,38.60 - 64.29,-32.27,12.78,60.49,0.97,19270000.0,18775145.0,5.42,7.08,-0.66,-16.17,-20.99,-31.29,0.95,1.06,2.34 2.46,42.8,43.54,1.73
CSGP,"CoStar Group, Inc.",Real Estate ,,29270000000.0,330000000.0,2060000000.0,14.96,9.67,,,4742.0,Yes,Yes,1.7,85.29,53.52,4.26,14.22,4.77,7.38,76.29,11.9,11.9,0.17,0.17,-0.82,0.84,1.33,0.24,25.2,20.4,,23.1,18.3,11.7,36.4,Oct 25 Ae6C,-1.57,0.8,-0.16,96.0,2.09,4.5,5.7,4.8,81.8,22.8,16.0,0.0,8.4,417210000.0,412940000.0,1.82,2.48,83.36,49.00 - 101.05,-29.35,45.69,47.97,0.89,3020000.0,2695203.0,-0.96,2.62,17.61,13.95,-28.1,-9.67,0.87,2.29,2.83 2.89,71.8,71.39,-0.57
CSGS,"CSG Systems International, Inc.",Technology ,,1920000000.0,44800000.0,1060000000.0,12.05,4.31,1.06,1.73,5200.0,Yes,Yes,1.0,43.51,15.81,,1.8,5.08,14.19,93.53,1.0,1.0,1.02,0.35,8.62,1.41,3.87,0.9,24.2,8.19,,3.5,6.6,2.8,-72.0,Aug 03 Ae6C,8.35,1.3,-2.29,99.9,-0.83,3.4,10.8,11.8,48.0,7.2,4.2,54.0,2.8,31300000.0,31220000.0,2.51,3.85,72.5,49.24 - 66.58,-8.12,24.25,70.23,0.53,204140.0,108808.0,3.34,13.93,-3.85,-4.2,20.86,6.18,0.82,1.31,2.12 2.22,60.93,61.18,0.41
CSIQ,Canadian Solar Inc.,Technology ,,1820000000.0,144900000.0,6320000000.0,27.84,16.68,,,13535.0,Yes,Yes,2.6,13.17,7.44,1.1,0.29,1.03,1.73,,0.9,1.2,2.2,0.56,-15.48,2.19,3.87,0.49,-38.6,69.26,,5.4,13.1,61.9,470.4,Aug 18 e9e6O,-26.26,31.0,0.0,55.6,-3.79,1.8,8.1,3.0,17.1,4.0,2.3,0.0,-12.97,64260000.0,50520000.0,7.38,2.8,42.8,22.15 - 47.69,-39.63,29.98,28.14,1.19,1330000.0,1592236.0,-5.33,-21.85,-10.73,0.1,-23.27,-7.99,1.35,1.95,6.34 5.53,30.31,28.79,-5.01
CSX,CSX Corporation,Industrials ,S&P 500,59290000000.0,4080000000.0,14550000000.0,6.07,1.14,0.4,1.42,16700.0,Yes,Yes,2.1,14.98,14.72,1.33,4.07,4.64,24.71,22.16,1.6,1.7,1.4,1.39,2.91,1.88,1.91,0.48,39.7,1.32,,22.7,2.5,18.3,21.0,Oct 20 Ae6C,-6.59,0.22,-0.33,76.4,-0.02,10.0,31.0,14.8,71.6,40.8,28.1,20.9,-13.38,2120000000.0,2100000000.0,0.91,1.19,32.77,25.80 - 38.63,-27.1,9.15,49.5,1.32,16010000.0,21060769.0,0.04,1.73,-9.63,-18.71,-20.5,-25.11,1.24,0.93,3.46 2.86,27.54,28.16,2.25
CTAS,Cintas Corporation,Industrials ,S&P 500,40510000000.0,1250000000.0,8120000000.0,31.84,0.75,4.6,1.13,43000.0,Yes,Yes,2.2,34.01,29.09,3.01,4.99,12.76,543.09,,1.4,1.7,0.93,0.77,2.64,11.95,13.97,3.01,13.8,11.13,,22.8,8.1,14.2,9.1,Sep 28 e9e6O,-0.75,0.4,0.0,66.2,0.12,,,21.7,46.3,,,,2.67,101430000.0,86260000.0,1.39,2.9,444.27,343.86 - 461.44,-11.95,18.16,53.95,0.81,411840.0,332566.0,3.11,4.21,2.13,-0.89,-4.81,-8.32,1.38,11.12,2.38 2.69,399.94,406.32,1.6
CTLP,"Cantaloupe, Inc.",Technology ,,229310000.0,-2400000.0,205200000.0,2.2,0.97,,,225.0,Yes,Yes,1.6,,39.28,,1.12,1.48,3.37,,1.5,1.7,0.09,0.09,-4.75,-0.03,0.08,-0.01,76.2,1085.71,,30.4,15.1,18.4,-178.3,Sep 08 Ae6C,-29.86,0.9,47.18,75.8,-0.02,-1.0,-1.5,-1.7,31.3,-1.3,-1.2,,-44.54,71140000.0,66100000.0,1.46,3.46,12.0,3.02 - 13.25,-75.4,7.95,32.92,1.02,277820.0,283010.0,2.19,-16.2,-41.89,-40.18,-71.8,-63.29,1.96,0.21,5.58 5.94,3.24,3.26,0.62
CTRA,Coterra Energy Inc.,Energy ,S&P 500,24110000000.0,2830000000.0,6920000000.0,15.18,1.33,0.6,1.98,936.0,Yes,Yes,2.4,8.48,6.82,0.88,3.49,1.99,22.76,42.65,1.8,1.8,0.26,0.25,6.97,3.57,4.44,1.36,358.9,-12.31,,35.2,24.4,692.1,382.5,Nov 03 Ae6C,3.66,0.1,-14.65,98.8,3.04,17.3,29.9,8.2,82.6,54.1,41.0,19.8,11.71,803000000.0,782200000.0,4.18,4.53,36.61,17.52 - 35.93,-15.72,72.88,57.35,0.77,7230000.0,5578547.0,4.7,14.87,4.6,9.15,50.59,67.33,0.17,1.22,3.38 4.07,29.67,30.28,2.06
CTSH,Cognizant Technology Solutions Corporation,Technology ,S&P 500,31200000000.0,2260000000.0,19250000000.0,22.98,4.52,1.08,1.78,341300.0,Yes,Yes,2.5,14.11,12.2,1.37,1.62,2.64,13.45,17.43,2.2,2.2,0.05,0.05,2.94,4.31,4.98,1.16,57.3,9.65,,9.7,6.5,7.0,14.4,Nov 02 Ae6C,-2.62,0.1,-2.97,93.0,-0.2,13.0,19.0,16.8,36.7,15.3,11.7,23.6,-19.0,520000000.0,516760000.0,1.55,2.45,74.19,55.40 - 93.47,-34.99,9.68,52.44,1.31,3280000.0,4284178.0,1.47,3.25,-10.74,-28.06,-23.09,-31.51,1.05,1.63,2.42 2.52,60.28,60.76,0.8
CTVA,"Corteva, Inc.",Basic Materials ,S&P 500,44840000000.0,1760000000.0,16700000000.0,35.73,3.75,0.6,0.95,21000.0,Yes,Yes,2.3,26.25,20.51,1.57,2.68,1.77,16.89,62.37,1.3,1.9,0.08,0.05,5.19,2.41,3.09,-0.23,149.4,20.76,,29.8,2.4,11.1,0.7,Nov 03 Ae6C,3.81,0.13,-0.96,83.1,0.09,4.1,6.8,2.0,41.1,9.3,10.3,23.6,12.4,723000000.0,717170000.0,0.86,2.08,69.6,42.07 - 64.30,-1.46,50.61,59.9,1.06,2960000.0,3120992.0,4.97,9.39,14.24,10.58,48.21,34.01,0.72,1.82,2.22 2.75,62.88,63.36,0.76
CVI,"CVR Energy, Inc.",Energy ,,3800000000.0,329000000.0,9510000000.0,7.65,9.41,1.6,3.99,1429.0,Yes,Yes,3.3,12.25,12.02,,0.4,5.24,4.26,4.79,0.8,1.3,2.07,2.07,21.23,3.27,3.34,1.9,109.8,-45.81,-,-2.9,8.7,76.3,,Oct 31 Ae6C,23.51,,,99.99,0.63,7.8,52.0,4.7,10.4,8.8,3.5,0.0,47.62,100530000.0,100520000.0,1.99,2.41,34.33,13.39 - 41.31,-2.9,199.62,69.22,0.73,830170.0,604270.0,13.47,51.47,38.41,77.59,104.01,158.63,1.48,2.09,5.90 6.02,40.93,40.11,-2.0
CVLT,"Commvault Systems, Inc.",Technology ,,2610000000.0,23200000.0,784200000.0,6.05,,,,2848.0,Yes,Yes,2.5,118.76,19.45,11.88,3.33,9.81,,16.41,1.3,1.3,0.0,0.0,8.01,0.5,3.05,0.5,207.3,17.69,,130.2,3.6,8.0,-73.5,Nov 01 e9e6O,8.5,2.1,-3.87,97.8,0.9,2.9,8.6,12.4,84.4,4.3,3.0,0.0,-2.56,44740000.0,44350000.0,2.26,3.92,68.2,50.26 - 77.71,-23.59,18.15,69.92,0.65,255860.0,166162.0,5.64,15.21,7.51,-6.64,-22.15,-13.84,0.52,1.56,2.44 2.68,59.05,59.38,0.56
CVS,CVS Health Corporation,Healthcare ,S&P 500,122130000000.0,8170000000.0,307860000000.0,57.26,11.64,2.2,2.32,300000.0,Yes,Yes,2.1,15.41,10.47,2.52,0.4,1.66,8.15,9.33,0.7,0.9,0.73,0.68,1.22,6.15,9.06,1.99,8.8,5.92,,3.9,10.5,11.0,6.5,Nov 02 e9e6O,-3.71,0.1,-18.04,80.3,-0.1,3.5,10.9,7.8,39.5,4.2,2.7,33.8,-5.07,1310000000.0,1310000000.0,1.12,2.89,118.39,86.24 - 111.25,-14.79,9.92,50.95,1.41,5080000.0,7181655.0,4.3,-3.61,-0.54,-6.85,8.32,-8.1,0.7,2.56,2.14 2.68,92.72,94.8,2.24
CVX,Chevron Corporation,Energy ,DJIA S&P500,330610000000.0,29050000000.0,206100000000.0,78.84,6.48,5.68,3.28,42595.0,Yes,Yes,2.3,11.57,10.36,0.87,1.6,2.2,26.73,16.9,1.1,1.3,0.17,0.15,10.38,14.97,16.71,4.81,374.5,-9.47,,100.8,7.1,81.0,270.3,Oct 28 e9e6O,9.72,0.08,-47.91,71.6,0.01,11.8,20.2,6.7,39.9,16.0,14.1,36.7,11.85,1960000000.0,1960000000.0,1.0,2.19,181.3,110.73 - 182.40,-5.08,56.35,68.08,0.78,8940000.0,7005953.0,7.33,19.59,17.52,9.93,53.48,47.53,1.14,4.92,2.64 2.95,173.19,173.13,-0.03
CWAN,"Clearwater Analytics Holdings, Inc.",Technology ,,3660000000.0,-10200000.0,278400000.0,1.27,1.18,,,1371.0,Yes,Yes,2.3,,57.17,,13.16,12.11,13.01,96.13,11.9,11.9,0.22,0.21,-4.98,-0.05,0.27,0.05,81.8,23.96,,,,-37.7,,Nov 02 Ae6C,-2.89,0.2,147.67,,0.14,-2.8,-4.9,7.0,71.2,0.0,-3.7,,-6.01,185780000.0,57490000.0,5.18,8.82,17.0,11.23 - 26.35,-41.63,36.95,44.23,0.58,337930.0,195550.0,-2.23,-2.6,22.55,-15.31,-41.43,-33.07,,0.64,3.36 4.00,15.5,15.38,-0.77
CXM,"Sprinklr, Inc.",Technology ,,2360000000.0,-112700000.0,558300000.0,1.96,2.05,,,3245.0,Yes,Yes,2.0,,470.53,,4.23,4.56,4.36,,2.0,2.0,0.0,0.0,-3.33,-0.46,0.02,-0.02,-179.5,128.6,-,,,26.9,23.1,Sep 08 Ae6C,-15.52,2.5,-5.37,75.4,0.04,-12.6,-22.0,-20.6,70.9,-18.7,-20.2,,-22.73,258790000.0,110280000.0,2.25,4.17,14.5,8.23 - 20.29,-55.94,8.63,40.97,0.9,596920.0,534751.0,-0.22,-4.28,-16.21,-34.6,-49.06,-43.67,,0.51,5.29 5.43,9.17,8.94,-2.51
CYBR,CyberArk Software Ltd.,Technology ,,6030000000.0,-121400000.0,542800000.0,16.29,23.2,,,2140.0,Yes,Yes,1.6,,5510.0,,11.11,9.13,6.41,221.79,2.8,2.8,0.86,0.86,0.59,-3.02,0.03,-0.2,-309.1,104.3,-,-36.3,18.3,21.4,-61.5,Nov 03 e9e6O,0.25,0.09,0.0,92.5,-0.2,-7.2,-17.5,-5.7,80.1,-22.6,-22.4,,1.85,40520000.0,40070000.0,6.04,5.9,180.38,100.35 - 201.68,-26.23,48.25,51.62,0.89,409740.0,364006.0,4.22,1.81,13.45,-9.66,-19.04,-14.14,1.06,7.16,3.94 4.63,150.12,148.77,-0.9
CYXT,"Cyxtera Technologies, Inc.",Technology ,,477750000.0,-201300000.0,722000000.0,3.58,0.21,,,745.0,Yes,Yes,1.9,,,,0.66,0.71,12.03,,0.4,0.4,3.14,3.06,-26.88,-2.68,-0.68,-0.21,-161.8,26.9,-,,,5.0,51.9,Nov 08 e9e6O,-52.6,0.2,-37.96,72.3,18.21,-6.5,-30.9,-2.7,45.6,-7.3,-27.9,,-75.85,178570000.0,131960000.0,5.03,9.16,12.0,2.55 - 15.42,-83.53,-0.39,19.99,0.68,724580.0,492707.0,-17.53,-42.27,-77.91,-79.91,-72.95,-79.86,,0.29,8.08 8.82,2.62,2.54,-3.05
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical ,S&P 500,8390000000.0,-1088000000.0,10390000000.0,17.05,4.92,,,49000.0,Yes,Yes,1.9,,167.02,,0.81,2.43,8.41,,1.0,1.0,7.2,7.18,14.78,-5.11,0.25,0.14,64.9,107.9,,-61.6,60.7,12.7,-67.1,Nov 01 Ae6C,-0.79,0.4,2.55,97.8,0.08,-3.9,-35.0,4.9,43.7,9.9,-14.1,,-27.99,214000000.0,213510000.0,4.82,2.74,69.75,31.31 - 115.95,-64.28,32.29,57.7,1.44,3750000.0,5417989.0,10.01,17.1,2.78,-39.53,-63.03,-55.71,2.78,2.7,6.24 7.08,39.61,41.42,4.57
DBX,"Dropbox, Inc.",Technology ,,7810000000.0,341900000.0,2250000000.0,-1.49,4.01,,,2667.0,Yes,Yes,2.4,20.52,12.6,1.22,3.47,,5.4,10.85,1.4,1.4,,,3.88,1.05,1.72,0.38,266.0,12.74,,31.4,20.6,7.9,-36.8,Nov 03 Ae6C,-0.42,4.0,-29.01,82.5,-0.45,11.4,-93.5,22.8,80.2,14.2,15.2,0.0,-3.02,364100000.0,272460000.0,5.03,5.82,27.94,19.07 - 31.47,-31.27,13.42,55.87,0.78,2360000.0,1847283.0,4.09,7.56,-2.66,-4.08,-28.66,-11.86,0.81,0.65,2.69 2.92,21.42,21.63,0.98
DCT,"Duck Creek Technologies, Inc.",Technology ,,1550000000.0,-8300000.0,302900000.0,5.53,2.74,,,1653.0,Yes,Yes,2.2,,64.5,,5.11,2.1,4.24,,6.9,6.9,0.0,0.0,-0.65,-0.06,0.18,-0.0,43.6,48.76,,,,6.6,,Oct 12 Ae6C,-3.81,0.2,2.49,78.0,-0.04,-0.7,-0.8,-2.4,57.6,-1.1,-2.0,,-33.73,132520000.0,96880000.0,2.38,3.21,16.25,10.55 - 32.64,-64.43,10.1,47.18,0.97,718480.0,694803.0,-0.51,-0.17,-14.57,-29.47,-63.7,-61.44,,0.53,4.07 4.51,11.71,11.61,-0.85
DDD,3D Systems Corporation,Technology ,,1070000000.0,226700000.0,580000000.0,6.14,5.12,,,1721.0,Yes,Yes,3.2,4.71,,0.16,1.84,1.39,1.67,,4.9,5.5,0.58,0.58,1.79,1.82,-0.06,-0.07,300.4,76.0,,56.5,-0.6,-13.9,-227.3,Nov 08 Ae6C,-9.14,1.8,-0.77,68.7,0.18,16.4,28.3,-2.4,40.9,-13.2,39.1,0.0,-32.15,127700000.0,127050000.0,8.5,8.26,11.69,7.61 - 34.97,-75.52,12.56,48.26,0.58,1310000.0,761316.0,1.66,7.0,-14.57,-37.75,-68.04,-60.26,1.5,0.47,5.24 5.48,8.55,8.56,0.12
DDOG,"Datadog, Inc.",Technology ,,26150000000.0,6500000.0,1370000000.0,3.86,5.37,,,3200.0,Yes,Yes,1.8,4579.44,78.21,103.89,19.14,21.35,15.35,68.39,3.3,3.3,0.61,0.61,-3.87,0.02,1.05,0.16,17.9,35.13,,126.83,,73.9,49.0,Nov 03 e9e6O,-13.26,0.7,-11.87,80.8,0.44,0.3,0.6,-1.2,79.0,0.8,0.5,0.0,-28.74,314800000.0,262230000.0,4.3,2.63,131.31,75.54 - 199.68,-58.72,9.13,42.53,0.69,4280000.0,2936524.0,2.03,-5.56,-3.84,-32.26,-49.24,-53.72,,5.06,5.20 5.33,82.15,82.43,0.34
DE,Deere & Company,Industrials ,S&P 500,111140000000.0,6170000000.0,48040000000.0,62.59,15.14,4.52,1.17,75550.0,Yes,Yes,2.1,19.28,14.78,1.45,2.31,6.17,25.5,68.27,,,2.69,1.69,8.35,20.01,26.11,7.12,118.6,13.69,,31.6,10.5,22.6,15.9,Aug 19 e9e6O,6.65,0.17,-4.79,79.1,-1.61,7.4,33.3,10.2,31.8,17.6,12.8,20.1,5.94,304100000.0,301300000.0,1.11,2.42,399.22,283.81 - 446.76,-13.62,35.97,65.41,0.77,1380000.0,1058671.0,6.43,15.46,20.8,0.1,13.26,12.54,1.06,11.03,2.92 2.75,383.06,385.89,0.74
DG,Dollar General Corporation,Consumer Defensive ,S&P 500,54770000000.0,2320000000.0,35350000000.0,27.35,1.46,2.2,0.9,163000.0,Yes,Yes,2.1,24.41,19.3,2.14,1.55,8.96,167.84,65.04,0.1,1.0,0.84,0.69,2.19,10.04,12.69,2.53,-4.2,9.72,,18.1,9.3,9.0,10.6,Aug 25 e9e6O,0.75,0.2,-47.7,95.8,-0.49,8.6,37.6,24.5,31.4,8.8,6.5,13.8,5.76,226300000.0,224580000.0,1.66,2.3,267.0,183.25 - 262.20,-6.57,33.69,57.08,0.96,1610000.0,1547824.0,3.63,1.39,1.49,-1.41,11.2,3.88,0.39,5.25,2.01 2.21,239.37,244.98,2.34
DISH,DISH Network Corporation,Communication Services ,S&P 500,7370000000.0,2060000000.0,17440000000.0,31.22,5.26,,,14500.0,Yes,Yes,2.2,4.34,10.84,,0.42,0.45,2.68,6.4,0.6,0.6,1.27,1.08,-0.41,3.24,1.3,0.56,25.6,-48.16,-,3.8,3.3,-6.2,-22.2,Aug 03 e9e6O,-13.57,8.9,4.4,84.6,0.18,4.4,13.1,6.6,33.4,15.3,11.8,0.0,-40.21,530090000.0,250680000.0,12.36,7.73,36.31,12.55 - 43.90,-67.95,12.11,43.73,0.78,4010000.0,3140406.0,1.15,-7.43,-21.92,-55.32,-67.52,-56.63,1.83,0.77,4.37 5.40,14.1,14.07,-0.21
DK,"Delek US Holdings, Inc.",Energy ,,2010000000.0,344600000.0,16510000000.0,17.16,17.99,0.8,2.75,3312.0,Yes,Yes,2.8,6.04,10.34,60.44,0.12,1.7,1.62,3.17,0.7,1.1,2.32,2.26,3.65,4.82,2.81,0.46,67.6,-57.3,,6.6,20.5,173.0,758.0,Nov 07 e9e6O,3.53,0.9,0.0,96.9,0.77,4.5,36.1,-2.2,10.5,3.5,2.1,0.0,20.13,70810000.0,69670000.0,9.56,4.87,33.25,13.95 - 34.93,-16.7,108.61,54.78,0.68,1370000.0,931775.0,8.22,18.2,19.61,32.25,38.1,95.78,1.46,1.65,5.31 5.44,29.13,29.1,-0.1
DKNG,DraftKings Inc.,Consumer Cyclical ,,5910000000.0,-1556100000.0,1570000000.0,4.04,4.29,,,3400.0,Yes,Yes,2.3,,,,3.76,3.24,3.04,,2.3,2.3,0.71,0.71,-10.27,-3.79,-2.24,-1.06,6.1,30.7,,,,56.7,34.7,Nov 04 e9e6O,-20.28,2.1,0.0,56.8,-0.37,-38.4,-93.5,-53.6,33.1,,-99.1,,-21.8,437030000.0,434230000.0,9.01,1.89,25.6,9.77 - 50.48,-74.11,33.78,38.25,0.74,20720000.0,15277162.0,-0.61,-12.75,3.32,-10.97,-71.65,-52.42,,1.06,5.17 7.26,13.21,13.07,-1.06
DLB,"Dolby Laboratories, Inc.",Communication Services ,,6240000000.0,200500000.0,1260000000.0,24.49,10.59,1.0,1.54,2368.0,Yes,Yes,1.8,33.49,17.77,2.09,4.95,2.65,6.14,27.14,5.2,5.3,0.0,0.0,-1.24,1.94,3.66,0.71,31.9,10.51,,10.3,4.5,1.0,-25.2,Nov 17 Ae6C,-8.64,0.5,-20.31,99.2,0.03,6.6,7.8,11.8,89.3,17.4,15.9,48.9,-14.1,100210000.0,60550000.0,1.34,2.06,90.0,61.55 - 96.85,-32.89,5.61,40.54,4.93,393850.0,1941744.0,-1.07,-4.43,-13.85,-16.2,-29.22,-31.74,0.99,1.73,2.66 2.50,66.37,65.0,-2.06
DLTR,"Dollar Tree, Inc.",Consumer Defensive ,S&P 500,32300000000.0,1570000000.0,27170000000.0,37.45,3.18,,,61886.0,Yes,Yes,2.3,21.55,18.02,1.04,1.19,3.98,46.89,19.41,0.2,1.5,0.0,0.41,6.66,6.91,8.27,1.18,2.5,13.45,,8.9,4.9,6.7,30.0,Aug 25 e9e6O,2.78,0.1,0.0,98.6,-0.35,7.1,19.8,13.5,30.8,7.8,5.8,0.0,-1.45,224200000.0,221030000.0,2.8,2.51,165.43,102.19 - 177.19,-15.91,45.81,62.54,1.29,2460000.0,3176016.0,8.62,5.46,-5.59,-12.28,44.45,6.03,0.69,4.16,2.92 2.87,143.61,149.0,3.75
DNA,"Ginkgo Bioworks Holdings, Inc.",Healthcare ,,4030000000.0,-2961900000.0,539100000.0,0.95,0.85,,,641.0,Yes,Yes,2.1,,,,7.47,2.62,2.92,,11.8,11.8,0.03,0.03,-15.05,-1.9,-0.32,-0.3,1.5,75.0,-,,,231.7,,Aug 15 Ae6C,-15.2,6.9,-9.97,81.0,3.2,-143.2,-191.9,-119.6,55.8,,,,-28.96,1620000000.0,915630000.0,18.71,6.47,7.61,2.09 - 15.86,-84.3,19.14,39.84,0.78,26460000.0,20554492.0,-5.32,-11.07,-4.6,-35.82,-81.05,-70.04,,0.27,8.60 9.54,2.57,2.49,-3.11
DOCU,"DocuSign, Inc.",Technology ,,9500000000.0,-108600000.0,2340000000.0,2.03,5.08,,,7461.0,Yes,Yes,3.0,,25.71,,4.06,23.88,9.55,21.57,1.0,1.0,0.0,1.77,-2.32,-0.54,1.89,0.42,72.8,14.04,,16.2,40.8,21.6,-72.7,Sep 08 Ae6C,-14.05,1.1,0.0,79.6,0.41,-4.3,-34.2,-6.5,77.9,-3.8,-4.6,,-40.95,200620000.0,197750000.0,9.66,4.1,81.25,42.13 - 288.50,-83.2,15.05,44.38,0.84,4660000.0,3929384.0,5.0,-7.48,-19.5,-46.11,-82.36,-68.18,1.19,2.97,5.37 5.50,47.81,48.47,1.38
