Tickers,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
DG,Dollar General Corporation,Consumer Defensive ,S&P 500,54240000000.0,2320000000.0,35350000000.0,27.35,1.45,2.2,0.92,163000.0,Yes,Yes,2.1,23.94,18.92,2.1,1.53,8.79,166.23,64.42,0.1,1.0,0.84,0.69,-2.52,10.04,12.7,2.53,-4.2,9.77,,18.1,9.3,9.0,10.6,Aug 25 e9e6O,-3.2,0.2,-48.71,96.7,-1.25,8.6,37.6,24.5,31.4,8.8,6.5,13.8,4.73,226300000.0,224900000.0,1.68,2.29,265.57,183.25 - 262.20,-8.34,31.15,41.99,1.04,1650000.0,1718775.0,0.22,-5.12,4.07,15.16,10.45,1.91,0.41,5.09,1.82 2.18,247.13,240.33,-2.75
DIOD,Diodes Incorporated,Technology ,,3050000000.0,286800000.0,1930000000.0,29.9,6.82,,,8921.0,Yes,Yes,2.1,10.8,9.35,0.72,1.58,2.25,9.87,19.11,1.7,2.4,0.2,0.17,-10.07,6.24,7.2,1.85,165.6,1.22,,73.3,13.9,13.8,43.3,Aug 04 Ae6C,-9.2,1.6,-0.31,99.5,1.13,13.2,22.7,12.8,40.1,18.7,14.8,0.0,-19.11,45270000.0,44610000.0,2.89,5.3,102.2,58.52 - 113.98,-40.9,15.11,36.02,0.58,242760.0,140382.0,-0.69,-19.14,0.3,-17.58,-29.77,-38.66,1.32,2.78,2.74 3.04,71.37,67.36,-5.62
DIS,The Walt Disney Company,Communication Services ,DJIA S&P500,201630000000.0,3190000000.0,81110000000.0,50.74,7.18,,,190000.0,Yes,Yes,2.0,63.97,20.6,1.71,2.49,2.2,15.56,165.81,1.0,1.0,0.56,0.5,-3.74,1.75,5.42,0.62,170.7,40.34,,-28.0,3.9,26.3,53.1,Aug 10 Ae6C,3.52,0.15,-0.11,63.8,-1.67,1.5,3.5,2.2,34.4,8.1,3.9,0.0,-11.14,1820000000.0,1820000000.0,1.08,1.72,143.76,90.23 - 185.90,-39.88,23.86,47.97,0.92,11410000.0,10450489.0,1.52,-8.07,16.77,-13.38,-39.58,-27.85,1.21,3.3,2.31 2.32,116.39,111.76,-3.98
DISH,DISH Network Corporation,Communication Services ,S&P 500,9580000000.0,2060000000.0,17440000000.0,31.22,5.27,,,14500.0,Yes,Yes,2.2,5.66,14.12,,0.55,0.59,3.48,8.32,0.6,0.6,1.27,1.08,1.52,3.24,1.3,0.56,25.6,-48.16,-,3.8,3.3,-6.2,-22.2,Aug 03 e9e6O,0.69,8.9,4.98,84.3,-1.11,4.4,13.1,6.6,33.4,15.3,11.8,0.0,-29.69,530090000.0,250690000.0,11.29,7.68,36.31,16.20 - 46.31,-60.42,13.11,50.99,0.91,3690000.0,3343021.0,10.02,-8.85,0.22,-37.76,-58.59,-43.5,1.82,0.92,5.21 4.56,19.61,18.33,-6.53
DKNG,DraftKings Inc.,Consumer Cyclical ,,7540000000.0,-1556100000.0,1570000000.0,4.04,4.47,,,3400.0,Yes,Yes,2.3,,,,4.8,4.29,3.88,,2.3,2.3,0.71,0.71,-1.06,-3.79,-2.26,-1.05,6.1,36.0,,,,56.7,34.7,Aug 05 e9e6O,10.65,2.1,-5.65,56.6,-3.05,-38.4,-93.5,-53.6,33.1,,-99.1,,-7.69,437030000.0,415790000.0,9.95,2.13,26.4,9.77 - 62.98,-72.45,77.58,53.43,1.24,19400000.0,24117458.0,10.65,-16.06,57.3,13.7,-71.3,-36.84,,1.1,5.18 5.51,18.2,17.35,-4.67
DLB,"Dolby Laboratories, Inc.",Communication Services ,,7180000000.0,200500000.0,1260000000.0,24.49,10.52,1.0,1.35,2368.0,Yes,Yes,1.8,38.3,20.32,2.39,5.69,3.04,7.07,31.24,5.2,5.3,0.0,0.0,-1.71,1.94,3.66,0.71,31.9,10.51,,10.3,4.5,1.0,-25.2,Aug 09 Ae6C,-1.66,0.5,-12.85,99.2,-1.61,6.6,7.8,11.8,89.3,17.4,15.9,48.9,-5.85,100210000.0,60550000.0,1.54,2.04,90.0,69.18 - 96.85,-23.24,7.46,46.38,0.87,454640.0,396491.0,3.06,-7.94,3.73,6.64,-22.0,-21.93,0.98,1.66,1.81 1.94,75.88,74.34,-2.03
DLTR,"Dollar Tree, Inc.",Consumer Defensive ,S&P 500,30740000000.0,1570000000.0,27170000000.0,37.45,3.1,,,61886.0,Yes,Yes,2.4,20.03,16.54,0.96,1.13,3.7,44.62,18.47,0.2,1.5,0.0,0.41,-8.38,6.91,8.37,1.17,2.5,14.09,,8.9,4.9,6.7,30.0,Aug 25 e9e6O,-13.54,0.2,-0.33,99.4,-1.66,7.1,19.8,13.5,30.8,7.8,5.8,0.0,-8.29,224200000.0,221040000.0,3.07,2.85,165.43,84.26 - 177.19,-21.84,64.37,34.36,1.17,2380000.0,2778184.0,0.14,-16.95,-10.65,-8.33,55.16,-1.44,0.74,4.7,2.91 2.90,145.75,138.5,-4.97
DNA,"Ginkgo Bioworks Holdings, Inc.",Healthcare ,,4150000000.0,-2961900000.0,539100000.0,0.95,0.99,,,641.0,Yes,Yes,2.0,,,,7.7,3.15,3.01,,11.8,11.8,0.03,0.03,3.53,-1.9,-0.3,-0.29,93.1,-11.1,-,,,231.7,,Aug 15 Ae6C,0.7,0.5,0.0,84.1,10.83,-143.2,-191.9,-119.6,55.8,,,,-34.18,1620000000.0,739890000.0,24.2,6.88,7.98,2.09 - 15.86,-81.15,43.06,52.52,0.91,26040000.0,23726868.0,24.07,-17.63,25.63,5.65,-67.32,-64.02,,0.32,10.70 9.96,3.17,2.99,-5.68
DOCU,"DocuSign, Inc.",Technology ,,11930000000.0,-108600000.0,2340000000.0,2.03,5.08,,,7461.0,Yes,Yes,2.9,,32.58,,5.11,30.01,12.0,27.09,1.0,1.0,0.0,1.77,-1.84,-0.54,1.87,0.43,72.8,11.44,,16.2,40.8,21.6,-72.7,Sep 08 Ae6C,-5.76,1.1,2.54,79.5,-0.42,-4.3,-34.2,-6.5,77.9,-3.8,-4.6,,-38.49,200620000.0,196920000.0,8.93,3.68,85.14,53.25 - 288.50,-78.88,14.42,47.67,1.38,4770000.0,6572931.0,13.25,-18.04,3.06,-16.81,-77.53,-60.0,1.23,3.8,5.85 4.78,65.66,60.93,-7.2
DOMO,"Domo, Inc.",Technology ,,713030000.0,-123800000.0,285100000.0,-4.15,2.35,,,917.0,Yes,Yes,1.7,,,,2.5,,8.92,,0.7,0.7,,,-14.45,-3.74,-0.83,-0.26,-10.4,18.0,-,15.4,28.2,20.2,-23.0,Aug 25 Ae6C,-25.8,4.7,-7.15,82.9,1.4,-54.3,96.8,400.0,74.9,-38.3,-43.4,,-47.01,33970000.0,29900000.0,3.69,2.15,46.67,18.17 - 95.50,-78.02,15.52,35.8,1.04,512150.0,534217.0,9.72,-38.21,-15.12,-47.27,-72.26,-57.68,2.56,1.72,5.85 6.53,21.89,20.99,-4.11
DQ,Daqo New Energy Corp.,Technology ,,4670000000.0,1600000000.0,3510000000.0,53.92,43.72,,,2399.0,Yes,Yes,2.2,2.97,2.94,,1.33,1.15,1.42,,5.5,5.6,0.0,0.0,-5.93,20.82,21.06,6.87,465.9,-25.04,-,66.2,53.6,181.9,170.3,Aug 03 e9e6O,-6.53,76.4,0.0,58.9,1.15,37.1,58.6,40.8,69.5,67.7,45.6,0.0,21.9,75120000.0,68160000.0,3.2,1.23,86.35,32.20 - 81.10,-23.63,92.36,44.25,0.56,1770000.0,989034.0,-4.43,-9.89,6.01,72.39,-0.45,53.62,0.28,3.96,5.19 5.37,64.19,61.94,-3.51
DT,"Dynatrace, Inc.",Technology ,,11040000000.0,41300000.0,987000000.0,4.7,2.03,,,3600.0,Yes,Yes,2.0,275.77,41.4,12.34,11.19,8.33,19.33,38.22,1.1,1.1,0.18,0.18,-0.56,0.14,0.95,0.18,-31.8,26.13,,130.9,18.0,27.5,-84.2,Aug 03 e9e6O,-0.65,0.6,-6.68,98.2,2.04,1.7,3.2,3.9,81.2,8.0,4.2,0.0,-12.35,286200000.0,194420000.0,4.15,3.32,50.6,29.41 - 80.13,-51.13,33.15,48.91,1.45,2430000.0,3529476.0,2.57,-9.56,0.18,1.29,-43.38,-35.11,,1.55,3.24 3.18,41.51,39.16,-5.66
DTE,DTE Energy Company,Utilities ,S&P 500,25670000000.0,788000000.0,17860000000.0,44.42,0.35,3.54,2.66,10300.0,Yes,Yes,2.2,32.74,21.18,8.27,1.44,2.99,383.2,17.36,0.5,0.6,2.23,1.82,-0.81,4.06,6.28,1.75,-24.9,4.25,,-3.3,7.1,63.0,-68.1,Jul 28 e9e6O,2.29,0.2,-2.09,74.5,-0.12,1.9,8.8,4.6,,6.6,4.3,88.4,5.75,193000000.0,192480000.0,1.18,2.5,140.25,108.22 - 140.23,-5.17,22.88,50.72,1.25,911410.0,1139729.0,1.36,-1.43,8.99,5.11,12.65,11.24,0.62,2.2,1.76 1.50,135.97,132.98,-2.2
DVN,Devon Energy Corporation,Energy ,S&P 500,43520000000.0,5210000000.0,17180000000.0,15.48,5.49,4.66,6.75,1600.0,Yes,Yes,2.1,8.76,6.83,0.24,2.53,4.46,12.59,8.37,1.6,1.6,0.67,0.66,1.42,7.89,10.11,2.29,161.7,5.8,,32.1,3.4,132.8,678.9,Aug 01 Ae6C,13.93,0.6,-2.62,80.2,-6.3,23.9,55.4,19.7,53.6,38.7,30.3,49.4,21.57,652000000.0,646530000.0,2.6,1.31,79.32,26.42 - 77.82,-11.25,161.44,56.53,0.89,12800000.0,11396934.0,1.34,7.51,1.78,33.75,147.7,59.98,2.47,2.84,3.31 3.73,71.19,69.07,-2.98
DXC,DXC Technology Company,Technology ,S&P 500,5910000000.0,542000000.0,15830000000.0,20.32,10.18,,,130000.0,Yes,Yes,2.8,12.35,5.88,0.76,0.37,1.34,2.68,4.03,1.1,1.1,1.01,0.82,5.04,2.21,4.63,0.73,562.8,30.93,,39.0,16.4,-10.5,-59.8,Aug 03 Ae6C,-2.51,0.8,0.0,91.2,-3.42,2.7,11.2,8.8,21.9,6.0,3.4,0.0,-11.85,232480000.0,228520000.0,3.58,4.35,35.5,23.99 - 39.65,-31.27,13.59,52.45,1.92,1880000.0,3614925.0,3.22,2.29,-9.62,-10.66,-24.26,-15.35,2.08,1.14,3.99 3.84,28.36,27.25,-3.91
DXCM,"DexCom, Inc.",Healthcare ,S&P 500,34530000000.0,199700000.0,2670000000.0,5.75,7.11,,,6300.0,Yes,Yes,1.6,188.12,80.7,5.99,12.91,15.51,12.53,160.22,4.3,4.7,0.9,0.9,2.91,0.47,1.1,0.24,-69.5,40.94,,31.7,33.7,17.0,-23.5,Jul 28 Ae6C,5.34,0.3,-0.98,96.3,-2.28,4.0,9.3,6.0,67.2,8.8,7.5,0.0,-12.04,392500000.0,391030000.0,3.67,5.22,98.93,66.89 - 164.86,-45.91,33.3,54.42,1.04,2750000.0,2850128.0,8.7,-0.73,31.02,-12.43,-34.0,-33.57,1.06,3.48,3.78 3.49,94.18,89.17,-5.32
EA,Electronic Arts Inc.,Communication Services ,S&P 500,34960000000.0,896000000.0,7210000000.0,27.39,8.82,0.76,0.6,12900.0,Yes,Yes,2.0,40.44,16.01,4.19,4.85,4.66,14.47,22.35,1.2,1.2,0.0,0.25,-0.95,3.15,7.97,1.36,-3.8,10.89,,-2.2,7.6,13.9,56.8,Aug 02 Ae6C,-0.62,0.2,-22.09,94.7,1.04,6.6,11.7,8.8,74.4,17.3,12.4,22.1,-0.8,279000000.0,276580000.0,1.23,1.68,151.04,109.24 - 146.91,-13.15,16.8,48.03,1.4,2020000.0,2829877.0,2.29,-2.88,-0.91,7.1,-11.81,-3.27,0.84,2.95,1.93 2.03,130.85,127.59,-2.49
EBAY,eBay Inc.,Consumer Cyclical ,S&P 500,23290000000.0,-2485000000.0,10020000000.0,9.43,5.88,0.88,2.06,10800.0,Yes,Yes,2.6,,9.71,,2.32,4.54,7.28,50.63,1.3,1.3,1.47,1.25,-6.4,-4.29,4.41,0.93,-89.0,8.87,,-43.1,2.3,-9.2,-324.6,Aug 03 Ae6C,-6.81,0.2,-6.36,89.8,-4.33,1.5,4.6,14.7,72.8,25.6,3.8,194.0,-19.73,556000000.0,544470000.0,3.12,2.95,53.04,40.52 - 81.19,-47.3,5.6,38.67,1.09,5750000.0,6283173.0,-0.58,-13.45,-0.33,-17.85,-41.12,-35.65,1.23,1.45,2.83 2.81,45.52,42.79,-6.0
EBIX,"Ebix, Inc.",Technology ,,692430000.0,69400000.0,995600000.0,20.7,2.87,0.3,1.32,10030.0,Yes,Yes,1.5,10.07,6.74,1.01,0.7,1.1,7.93,15.53,0.4,0.4,1.01,0.0,-6.47,2.26,3.38,0.59,-26.3,28.57,,-4.9,27.2,1.8,22.9,Aug 09 e9e6O,1.65,24.77,0.0,69.6,3.88,4.5,10.7,8.5,31.0,12.1,7.0,13.3,-18.66,30750000.0,23250000.0,25.72,11.01,99.5,12.50 - 44.42,-48.81,81.92,44.89,0.59,543050.0,320991.0,-1.04,-4.81,-1.86,-29.86,-16.92,-25.2,2.6,1.52,4.46 5.28,24.02,22.74,-5.33
ECOM,ChannelAdvisor Corporation,Technology ,,660200000.0,40900000.0,172100000.0,5.64,2.92,,,846.0,Yes,Yes,2.0,17.9,22.54,2.24,3.84,4.05,7.84,23.49,2.8,2.8,0.0,0.0,32.69,1.28,1.01,0.19,139.1,21.29,,46.7,8.2,3.1,-59.1,Aug 09 e9e6O,44.67,2.4,-3.49,95.4,-4.39,18.0,23.4,25.5,76.1,9.2,23.7,0.0,30.8,29950000.0,27950000.0,1.94,1.22,23.07,11.89 - 29.42,-22.29,92.26,83.94,5.89,443970.0,2613118.0,0.31,46.16,64.34,44.68,-15.11,-7.37,0.82,0.76,0.57 1.99,22.8,22.86,0.26
ED,"Consolidated Edison, Inc.",Utilities ,S&P 500,34670000000.0,1620000000.0,14500000000.0,57.54,3.21,3.16,3.2,13871.0,Yes,Yes,3.4,21.63,20.47,4.13,2.39,1.72,30.76,15.82,0.8,0.9,1.24,1.1,-0.83,4.57,4.83,1.49,17.5,7.31,,-1.4,2.5,14.9,50.5,Aug 04 Ae6C,1.91,0.1,0.5,68.1,1.1,2.5,8.0,4.9,79.2,17.2,11.2,68.3,8.3,354300000.0,354150000.0,2.1,4.63,89.25,71.52 - 102.21,-3.32,38.17,49.56,0.97,1600000.0,1556829.0,1.09,-0.29,8.41,10.39,32.8,15.82,0.25,1.81,2.14 1.69,101.92,98.82,-3.04
EDR,"Endeavor Group Holdings, Inc.",Communication Services ,,12020000000.0,368300000.0,5680000000.0,6.75,3.77,,,7700.0,Yes,Yes,1.8,18.67,16.48,0.77,2.12,3.68,6.59,22.27,1.5,1.5,2.99,2.94,5.53,1.33,1.51,0.29,56.2,12.44,,-32.3,16.5,18.1,107.4,Aug 11 Ae6C,8.84,0.6,-25.48,95.7,0.99,3.3,24.4,-0.4,52.8,17.2,6.5,0.0,-4.97,281620000.0,49070000.0,3.56,1.81,31.42,17.42 - 35.28,-29.52,42.77,60.35,1.88,962690.0,1813341.0,4.19,2.77,23.24,-8.43,-6.68,-28.72,,0.83,3.78 3.00,25.19,24.87,-1.27
EE,"Excelerate Energy, Inc.",Utilities ,,2810000000.0,,1320000000.0,5.37,3.72,0.1,0.38,175.0,Yes,Yes,2.0,,15.42,,2.13,4.88,7.05,,2.1,2.4,1.14,1.06,-0.25,,1.7,0.3,6.1,86.51,-,,,278.0,-105.2,Aug 10 Ae6C,11.68,1.8,0.0,61.33,69.44,,,5.8,,,,,7.19,108280000.0,25770000.0,5.09,2.2,31.43,18.31 - 30.82,-14.89,43.26,53.41,0.62,596040.0,367223.0,-2.42,3.92,3.96,,,-2.31,,1.33,4.03 5.16,27.05,26.23,-3.03
EEFT,"Euronet Worldwide, Inc.",Technology ,,4300000000.0,136300000.0,3190000000.0,20.23,39.45,,,8800.0,Yes,Yes,1.7,35.13,10.57,2.34,1.35,4.4,2.26,10.59,1.5,1.5,2.05,1.61,-4.94,2.54,8.43,2.61,82.9,31.36,,-16.4,8.9,18.0,565.6,Jul 28 e9e6O,-8.22,3.4,0.0,96.7,-5.71,2.8,11.1,4.4,38.8,8.8,4.3,0.0,-22.67,50400000.0,47030000.0,2.83,3.47,143.75,84.79 - 149.92,-40.57,5.07,39.77,0.93,383550.0,358128.0,2.84,-13.22,-14.17,-23.44,-30.97,-25.24,1.34,2.82,2.82 2.61,94.09,89.09,-5.31
EGHT,"8x8, Inc.",Technology ,,527390000.0,-157500000.0,677400000.0,1.12,1.2,,,2216.0,Yes,Yes,2.6,,12.95,,0.78,4.0,3.72,16.33,1.6,1.6,3.7,3.7,-9.0,-1.37,0.35,0.04,1.2,29.59,-,-13.92,20.3,26.5,45.5,Jul 27 Ae6C,-10.74,2.8,-7.03,96.7,1.46,-19.5,-107.6,-24.4,62.4,-21.0,-23.3,,-57.43,119720000.0,116200000.0,11.54,5.64,6.95,4.22 - 25.19,-82.22,6.16,43.02,0.87,2380000.0,2070628.0,-8.2,-16.1,-23.42,-56.29,-81.35,-73.27,1.22,0.38,6.15 6.46,4.82,4.48,-7.05
EGLE,Eagle Bulk Shipping Inc.,Industrials ,,627320000.0,313300000.0,751200000.0,58.94,10.38,8.8,18.78,1000.0,Yes,Yes,1.8,2.44,4.12,,0.84,0.79,4.51,2.36,1.6,1.8,0.48,0.42,2.19,19.2,11.37,4.87,446.6,-40.11,-,16.6,36.7,53.0,675.1,Aug 04 Ae6C,-2.95,1.9,-16.46,88.4,7.2,26.8,45.8,24.3,67.1,44.8,41.7,24.9,-12.73,12990000.0,12750000.0,11.11,3.63,73.2,36.21 - 78.75,-40.51,29.38,50.84,1.38,389940.0,536468.0,12.05,-15.65,-19.25,-23.72,-12.67,2.97,1.39,2.17,3.73 3.91,44.55,46.85,5.16
EIX,Edison International,Utilities ,S&P 500,25530000000.0,507000000.0,16610000000.0,36.21,0.33,2.8,4.06,13003.0,Yes,Yes,2.3,51.77,14.2,10.35,1.54,1.9,209.3,,0.6,0.6,2.12,1.82,-0.99,1.33,4.85,1.71,1.1,7.84,,-12.7,4.7,20.9,-24.4,Jul 28 Ae6C,3.5,0.09,0.14,90.3,1.06,0.7,3.9,3.9,66.4,7.6,3.2,204.6,4.15,381430000.0,381090000.0,1.56,3.68,73.62,54.98 - 73.32,-6.03,25.32,51.44,1.01,1610000.0,1634113.0,4.6,-2.61,10.45,6.62,16.66,0.95,0.68,1.56,2.63 2.05,71.12,68.9,-3.12
ENLV,Enlivex Therapeutics Ltd.,Healthcare ,,86700000.0,-26300000.0,,3.73,3.65,,,71.0,Yes,Yes,,,,,,1.36,1.39,,15.4,15.4,0.0,0.0,-3.53,-1.43,,-0.29,9.8,,-,54.2,,,-217.8,,2.28,12.22,0.0,11.0,-11.4,-29.3,-32.9,,,,,,-5.46,18380000.0,14720000.0,1.31,4.26,15.0,3.65 - 11.84,-57.18,38.9,49.08,1.08,45330.0,49178.0,1.4,-0.39,31.35,-3.06,-56.63,-18.88,0.95,0.33,5.63 6.61,5.27,5.07,-3.8
ENPH,"Enphase Energy, Inc.",Technology ,S&P 500,40950000000.0,203200000.0,1740000000.0,3.34,9.31,,,2260.0,Yes,Yes,2.0,215.44,61.31,6.68,23.59,91.47,32.82,87.76,3.3,3.6,2.85,2.66,4.06,1.42,4.98,1.07,7.8,21.95,,22.5,33.8,67.7,92.6,Jul 26 Ae6C,16.51,1.2,-18.39,76.3,3.67,9.0,43.7,12.5,40.3,14.4,11.7,0.0,54.58,135200000.0,132720000.0,3.16,1.24,278.99,113.40 - 324.84,-5.95,169.4,59.61,1.31,3380000.0,4428674.0,4.33,2.09,71.4,93.8,90.83,66.99,1.44,15.84,6.23 5.05,308.93,305.5,-1.11
ENTG,"Entegris, Inc.",Technology ,,14280000000.0,460900000.0,2560000000.0,14.07,1.69,0.4,0.42,6850.0,Yes,Yes,1.8,28.26,19.58,1.68,5.58,6.78,56.43,194.5,8.4,9.9,1.78,1.78,-4.54,3.38,4.87,1.05,38.4,14.96,,34.4,14.4,21.2,12.1,Aug 02 e9e6O,-4.45,0.4,-7.25,96.8,2.32,12.0,26.1,17.3,46.1,24.3,18.0,10.6,-18.48,148960000.0,147860000.0,2.94,2.88,142.92,85.92 - 158.00,-39.63,11.02,44.17,1.06,1510000.0,1597029.0,2.48,-8.74,-2.65,-20.34,-23.12,-31.17,1.28,4.24,3.70 3.54,102.83,95.39,-7.24
ENV,"Envestnet, Inc.",Technology ,,2830000000.0,-30500000.0,1260000000.0,16.9,6.17,,,4375.0,Yes,Yes,2.7,,21.86,,2.24,3.05,8.36,17.38,0.8,0.8,0.91,0.54,-5.81,-0.56,2.36,0.42,513.7,24.07,,16.9,15.5,10.5,-177.3,Aug 04 Ae6C,-5.86,1.0,-0.3,,-1.21,-1.4,-3.2,1.8,61.8,-2.0,-2.4,,-24.06,55200000.0,52650000.0,4.88,6.24,73.43,49.08 - 85.99,-39.99,5.13,37.61,0.73,411510.0,300295.0,0.37,-14.72,-7.82,-28.25,-32.99,-34.96,1.18,1.55,2.37 2.31,53.65,51.6,-3.82
EOG,"EOG Resources, Inc.",Energy ,S&P 500,70290000000.0,5710000000.0,22110000000.0,38.27,5.37,3.0,2.44,2800.0,Yes,Yes,2.0,12.61,7.41,1.2,3.18,3.21,22.87,21.68,1.3,1.4,0.23,0.17,2.17,9.75,16.59,4.33,864.8,5.61,,43.2,20.1,78.8,145.1,Aug 04 Ae6C,10.61,0.3,-0.87,89.6,0.84,15.1,26.0,17.7,61.5,33.7,25.8,27.2,11.02,586040000.0,583620000.0,1.19,1.69,147.43,66.02 - 145.98,-15.81,86.16,56.76,0.73,4120000.0,3007960.0,2.16,7.35,-6.13,7.56,83.48,41.48,1.54,4.41,2.72 3.02,126.41,122.91,-2.77
EPAM,"EPAM Systems, Inc.",Technology ,S&P 500,23830000000.0,366300000.0,4460000000.0,45.81,23.94,,,58824.0,Yes,Yes,1.6,68.06,33.15,3.41,5.34,9.2,17.61,60.01,3.4,3.4,0.01,0.01,-2.5,6.19,12.71,2.49,45.7,28.32,,34.3,26.5,35.6,-83.8,Aug 04 e9e6O,10.27,2.4,-4.84,94.5,2.6,10.6,14.6,19.4,32.6,11.9,8.2,0.0,6.44,57240000.0,55560000.0,2.01,2.35,491.5,168.59 - 725.40,-41.91,149.95,52.53,0.56,474140.0,263353.0,2.57,-5.28,48.32,91.55,-31.77,-36.96,1.66,15.53,2.85 3.33,438.7,421.4,-3.94
EQT,EQT Corporation,Energy ,,17040000000.0,-803500000.0,4320000000.0,24.5,0.12,0.6,1.25,693.0,Yes,Yes,1.9,,5.46,,3.94,1.96,389.87,15.38,0.6,0.6,0.56,0.51,0.15,-2.65,8.77,1.03,3.6,106.59,,6.9,17.2,213.4,165.5,Jul 27 Ae6C,11.01,0.3,-1.06,96.8,1.21,-3.6,-9.0,-6.0,45.1,,-18.6,,41.5,369870000.0,368190000.0,5.98,3.04,60.55,17.95 - 51.73,-7.38,166.91,53.9,0.86,7250000.0,6253699.0,5.46,3.72,6.3,88.47,139.91,119.67,1.15,2.43,5.05 5.08,50.3,47.91,-4.75
ESLT,Elbit Systems Ltd.,Industrials ,,8820000000.0,274300000.0,5280000000.0,57.26,5.89,2.0,1.0,17787.0,No,Yes,2.5,32.17,21.58,2.95,1.67,3.49,33.9,59.16,0.8,1.2,0.39,0.35,-4.4,6.2,9.25,2.11,15.3,22.52,,2.3,10.1,8.5,-88.0,Aug 16 e9e6O,-9.65,45.7,0.0,6.2,-7.53,3.1,11.3,8.2,25.7,7.9,5.2,21.6,-0.06,44210000.0,24640000.0,0.38,3.59,157.0,142.20 - 244.80,-18.47,40.35,36.3,0.87,25800.0,22538.0,-1.55,-18.3,1.23,-2.96,34.2,14.62,0.63,5.27,1.75 1.83,199.1,199.58,0.24
ESMT,"EngageSmart, Inc.",Technology ,,3380000000.0,-300000.0,258300000.0,4.77,1.66,,,789.0,Yes,Yes,1.8,,92.9,,13.1,4.3,12.34,132.71,7.4,7.4,0.0,0.0,-0.87,-0.0,0.22,0.04,-33.5,3.27,,,,42.9,324.5,Aug 04 e9e6O,4.96,0.7,-2.2,89.7,1.81,0.0,0.0,-0.1,75.4,0.3,-0.1,,0.67,162990000.0,151950000.0,0.71,2.1,29.88,15.64 - 38.83,-47.13,31.27,51.21,0.84,515010.0,433079.0,3.27,-8.47,20.84,15.79,,-14.88,,0.76,3.53 3.28,21.17,20.53,-3.02
ESTC,Elastic N.V.,Technology ,,7830000000.0,-238900000.0,919400000.0,4.16,9.01,,,3056.0,Yes,Yes,1.8,,392.41,,8.52,20.0,9.23,,2.0,2.0,1.44,1.44,-0.17,-2.56,0.21,-0.1,-48.4,154.8,,-24.1,57.8,29.5,-94.4,Aug 25 Ae6C,3.31,8.9,-0.47,78.2,2.67,-15.1,-56.5,-18.3,72.2,-22.1,-26.0,,-4.13,94620000.0,77430000.0,4.98,3.09,103.62,50.74 - 189.84,-56.18,63.95,50.09,0.86,1250000.0,1072261.0,5.25,-0.7,30.07,24.03,-47.51,-32.42,1.1,4.63,4.57 4.77,90.81,83.19,-8.39
ESTE,"Earthstone Energy, Inc.",Energy ,,1990000000.0,161600000.0,923100000.0,16.32,0.0,,,81.0,Yes,Yes,2.5,8.76,2.32,0.25,2.16,0.92,,4.21,0.6,0.6,0.0,0.31,-0.21,1.71,6.47,1.6,256.8,14.96,,17.5,58.3,426.9,803.8,Aug 04 Ae6C,8.64,1.5,-7.18,67.6,20.48,7.5,20.8,21.4,82.4,58.4,17.5,0.0,9.12,78290000.0,48760000.0,26.27,6.86,28.86,7.85 - 22.25,-32.67,90.83,52.3,0.79,1870000.0,1476505.0,2.18,-0.6,-20.66,24.83,74.39,36.93,2.03,0.94,4.85 5.81,15.26,14.98,-1.83
ETR,Entergy Corporation,Utilities ,S&P 500,23530000000.0,1230000000.0,12350000000.0,57.58,2.9,4.04,3.43,12369.0,Yes,Yes,2.1,19.49,17.44,3.22,1.91,2.04,40.58,16.47,0.6,0.9,2.29,2.1,-1.3,6.04,6.75,2.66,-19.7,5.88,,29.9,1.6,20.3,-17.4,Aug 03 e9e6O,1.8,0.4,-20.37,92.7,3.3,2.1,10.6,4.3,86.7,14.7,9.9,65.5,3.91,203380000.0,202660000.0,2.08,3.91,129.22,98.50 - 126.82,-7.18,19.51,49.2,0.74,1080000.0,799830.0,1.8,-2.73,7.3,6.75,3.85,4.49,0.57,2.35,2.26 1.77,122.04,117.71,-3.55
