,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,,9240000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.76,12200.0,Yes,Yes,2.1,10.38,7.39,,0.69,1.69,5.64,8.28,1.0,1.8,0.3,0.3,1.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,8.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-14.43,182000000.0,173820000.0,4.5,1.31,58.22,39.56 - 98.09,-46.36,33.0,54.72,1.22,5970000.0,7252553.0,9.44,-0.62,-5.29,-36.56,10.76,-11.68,2.32,2.7,4.59 4.56,48.86,52.62,7.7
CRK,"Comstock Resources, Inc.",Energy | Oil & Gas E&P | USA,,4310000000.0,319000000.0,2680000000.0,5.48,0.14,,,205.0,Yes,Yes,2.3,16.9,4.19,0.85,1.61,3.43,133.45,14.69,0.6,0.6,1.97,1.97,0.19,1.11,4.48,1.02,-188.7,25.76,,37.3,60.1,175.3,268.1,Aug 01 Ae6C,18.48,1.7,2.44,35.2,7.39,6.5,33.3,14.8,84.0,57.3,11.9,0.0,45.69,232040000.0,80790000.0,21.46,4.64,19.05,6.88 - 22.11,-15.06,172.97,54.37,0.51,3740000.0,1926304.0,-0.58,17.23,-6.43,87.43,139.24,132.14,1.34,1.18,4.72 5.87,18.38,18.78,2.18
CRM,"Salesforce, Inc.",Technology | Software - Application | USA,DJIA S&P500,162420000000.0,536000000.0,29320000000.0,60.28,13.55,,,73541.0,Yes,Yes,1.8,303.91,28.79,20.79,5.54,2.7,12.0,28.59,1.1,1.1,0.18,0.16,-5.31,0.54,5.65,1.22,-66.3,19.21,,26.3,25.7,21.8,-87.9,Aug 24 Ae6C,-7.11,2.9,-3.18,80.0,0.82,0.6,0.9,0.6,72.6,0.0,1.8,0.0,-18.95,997000000.0,967150000.0,1.3,1.99,227.82,150.48 - 311.75,-47.85,8.05,42.86,0.89,6320000.0,5628993.0,5.9,-13.8,-13.1,-18.77,-37.64,-36.02,1.13,5.78,3.00 2.98,156.9,162.59,3.63
CRNC,Cerence Inc.,Technology | Software - Application | USA,,780350000.0,-72700000.0,367800000.0,24.17,3.16,,,1700.0,Yes,Yes,2.5,,23.37,,2.12,0.8,6.13,101.34,1.7,1.7,0.29,0.28,-6.08,-1.86,0.83,-0.23,332.3,-28.4,,4.0,12.9,-8.1,,Aug 09 e9e6O,-20.1,0.6,-4.12,,3.38,-4.4,-7.1,4.5,73.7,15.1,-19.8,,-52.74,39310000.0,38630000.0,13.8,11.01,33.0,18.04 - 114.85,-83.17,7.15,34.58,0.73,484390.0,352277.0,-3.4,-18.37,-34.41,-39.67,-81.67,-74.78,,1.15,4.85 4.34,18.65,19.33,3.65
CRNT,Ceragon Networks Ltd.,Technology | Communication Equipment | Israel,,181200000.0,-15800000.0,294900000.0,1.57,0.28,,,1006.0,Yes,Yes,1.7,,26.5,,0.61,1.35,7.68,,1.2,1.6,0.24,0.0,-8.34,-0.19,0.08,0.0,15.6,900.0,,-26.4,-0.2,3.1,11.7,Aug 01 e9e6O,-15.38,21.7,0.0,10.1,-18.19,-5.3,-11.4,-4.1,29.5,0.8,-5.3,,-5.53,84020000.0,65080000.0,0.99,0.87,5.0,1.53 - 3.88,-45.37,38.56,31.38,0.29,734840.0,213054.0,-2.3,-20.3,13.37,4.43,-44.5,-17.83,1.28,0.09,4.58 3.92,2.15,2.12,-1.4
CRSP,CRISPR Therapeutics AG,Healthcare | Biotechnology | Switzerland,,5380000000.0,-633500000.0,14800000.0,26.97,25.72,,,473.0,Yes,Yes,2.2,,,,363.26,2.48,2.6,,17.6,17.6,0.0,0.0,-3.71,-8.23,-7.79,-2.31,188.8,15.9,-,35.0,181.6,-100.0,-125.4,Aug 08 e9e6O,-9.14,0.5,-15.74,69.2,12.82,-23.8,-27.4,15.5,,,,,0.9,77510000.0,76940000.0,13.93,5.83,112.41,42.51 - 124.79,-46.34,57.51,44.79,0.43,1840000.0,797723.0,2.07,-15.1,-6.61,7.26,-44.87,-11.64,1.97,3.61,3.81 5.07,66.27,66.96,1.04
CRWD,"CrowdStrike Holdings, Inc.",Technology | Software - Infrastructure | USA,,44680000000.0,-173200000.0,1830000000.0,5.27,9.91,,,6250.0,Yes,Yes,1.6,,100.08,,24.36,36.22,19.27,78.53,1.8,1.8,0.6,0.6,0.69,-0.75,1.91,0.32,-143.0,43.38,,-13.4,94.1,58.5,16.3,Aug 30 Ae6C,2.76,0.7,-15.9,77.0,3.08,-4.6,-16.1,-12.2,73.7,-7.4,-9.4,,1.51,232550000.0,211770000.0,6.46,3.85,242.87,130.00 - 298.48,-36.06,46.82,53.88,1.17,3550000.0,4168108.0,10.34,-4.95,9.97,-0.08,-28.02,-6.78,,8.8,4.08 3.81,179.88,190.86,6.11
CSCO,"Cisco Systems, Inc.",Technology | Communication Equipment | USA,DJIA S&P500,192510000000.0,11810000000.0,51560000000.0,9.73,4.78,1.52,3.32,79500.0,Yes,Yes,2.5,16.23,12.04,2.43,3.73,4.7,9.57,25.73,1.4,1.5,0.23,0.21,-1.18,2.82,3.8,0.84,-5.2,7.76,,3.4,0.2,0.2,8.1,Aug 17 Ae6C,1.9,0.07,-1.96,74.6,-0.66,12.4,28.9,19.2,62.5,27.1,22.9,52.3,-10.98,4150000000.0,4140000000.0,0.95,1.96,55.08,40.82 - 64.29,-28.8,12.13,50.9,0.77,20070000.0,15470825.0,1.06,-0.54,3.41,-16.34,-21.89,-27.77,0.94,0.92,2.08 1.82,45.37,45.77,0.88
CSGP,"CoStar Group, Inc.",Real Estate | Real Estate Services | USA,,30660000000.0,330000000.0,2060000000.0,14.96,10.14,,,4742.0,Yes,Yes,1.7,93.69,58.57,4.68,14.89,5.24,7.73,79.9,11.9,11.9,0.17,0.17,7.57,0.84,1.34,0.24,25.2,20.74,,23.1,18.3,11.7,36.4,Jul 26 Ae6C,15.02,0.7,-0.22,99.2,0.33,4.5,5.7,4.8,81.8,22.8,16.0,0.0,17.36,393340000.0,391560000.0,0.77,1.61,81.2,49.00 - 101.05,-22.39,60.04,72.27,1.81,1890000.0,3404780.0,12.04,4.94,31.38,39.84,-12.57,-0.77,0.93,1.99,3.12 2.23,78.56,78.42,-0.18
CSGS,"CSG Systems International, Inc.",Technology | Software - Infrastructure | USA,,1840000000.0,44800000.0,1060000000.0,12.05,4.15,1.06,1.87,5200.0,Yes,Yes,1.3,40.23,14.61,,1.73,4.69,13.64,89.86,1.0,1.0,1.02,0.35,-1.61,1.41,3.87,0.9,24.2,8.19,,3.5,6.6,2.8,-72.0,Aug 03 Ae6C,-5.06,2.5,-1.2,97.93,-1.24,3.4,10.8,11.8,48.0,7.2,4.2,54.0,-4.92,31300000.0,31220000.0,2.36,3.29,72.5,45.23 - 66.58,-15.06,25.04,42.44,0.67,224000.0,151013.0,-1.74,-0.28,-3.83,-13.33,18.97,-1.84,0.81,1.65,2.30 2.45,55.75,56.56,1.45
CSIQ,Canadian Solar Inc.,Technology | Solar | Canada,,2800000000.0,144900000.0,6320000000.0,27.84,16.18,,,13535.0,Yes,Yes,2.6,19.68,11.3,1.64,0.44,1.55,2.66,,0.9,1.2,2.2,0.56,-1.25,2.19,3.81,0.55,-38.6,63.78,,5.4,13.1,61.9,470.4,Aug 18 e9e6O,15.04,31.0,0.0,57.9,5.68,1.8,8.1,3.0,17.1,4.0,2.3,0.0,31.81,64260000.0,50520000.0,7.41,3.12,44.8,22.15 - 47.69,-9.79,94.22,52.88,1.15,1200000.0,1376272.0,-4.31,2.62,26.46,23.2,16.59,37.49,1.33,2.66,5.65 6.14,43.76,43.02,-1.69
CSL,Carlisle Companies Incorporated,Industrials | Building Products & Equipment | USA,,16130000000.0,733100000.0,6030000000.0,55.5,6.76,3.0,0.97,11000.0,Yes,Yes,1.9,22.24,14.45,1.48,2.67,5.56,45.67,81.43,1.4,2.0,1.02,0.9,0.58,13.88,21.36,5.43,22.8,5.29,,15.6,7.0,56.8,217.4,Jul 27 Ae6C,8.78,0.4,-34.43,91.8,-1.46,10.5,28.5,8.5,31.4,17.2,12.7,14.7,22.61,51800000.0,51310000.0,1.55,1.76,336.67,195.04 - 318.71,-3.13,58.29,60.31,0.67,453340.0,303538.0,3.27,0.53,17.12,34.51,53.21,24.43,1.04,6.46,2.15 2.01,307.55,308.73,0.38
CSX,CSX Corporation,Industrials | Railroads | USA,S&P 500,70700000000.0,3940000000.0,13950000000.0,6.08,0.37,0.4,1.23,21700.0,Yes,Yes,2.1,18.23,16.54,1.33,5.07,5.37,87.06,27.89,1.0,1.2,1.23,1.22,-1.37,1.79,1.97,0.5,39.7,5.4,,22.7,2.5,27.6,5.6,Jul 20 Ae6C,3.35,0.22,-0.33,76.6,-1.55,9.8,29.7,14.8,72.4,41.5,28.2,21.5,-3.33,2160000000.0,2140000000.0,1.04,1.51,35.79,27.59 - 38.63,-15.53,18.25,52.44,0.94,14800000.0,13841156.0,3.23,-4.2,4.68,-6.48,4.08,-13.22,1.2,0.65,2.11 1.84,32.21,32.63,1.3
CTAS,Cintas Corporation,Industrials | Specialty Business Services | USA,S&P 500,43830000000.0,1230000000.0,7850000000.0,32.31,0.89,4.6,1.07,43000.0,Yes,Yes,2.2,36.98,31.82,3.32,5.58,13.35,484.35,47.55,1.5,1.8,0.85,0.75,1.32,11.66,13.56,2.96,13.8,10.46,,22.8,8.1,13.0,13.7,Jul 14 e9e6O,5.33,0.4,-4.85,66.3,-1.61,15.3,36.5,21.7,46.2,20.2,15.7,30.2,7.37,102370000.0,85780000.0,1.19,2.36,442.0,343.86 - 461.44,-6.52,25.44,59.98,0.92,431860.0,398567.0,5.84,-0.1,10.34,16.66,7.82,-2.67,1.43,7.34,2.07 1.66,429.39,431.35,0.46
CTLP,"Cantaloupe, Inc.",Technology | Information Technology Services | USA,,396290000.0,2400000.0,196200000.0,2.21,0.96,,,181.0,Yes,Yes,1.6,153.94,254.0,6.16,2.02,2.3,5.28,,1.7,1.9,0.09,0.09,-16.75,0.03,,-0.01,78.6,,,33.5,16.6,17.5,177.5,Sep 08 Ae6C,-14.06,0.9,45.49,75.9,0.56,1.0,1.5,-3.6,31.5,1.0,1.2,0.0,-23.25,71080000.0,66040000.0,1.57,5.99,11.25,4.28 - 13.25,-61.66,18.69,35.08,2.67,173230.0,463294.0,-16.86,-19.87,0.0,-29.44,-50.78,-42.79,1.79,0.4,8.35 6.48,5.45,5.08,-6.79
CTRA,Coterra Energy Inc.,Energy | Oil & Gas E&P | USA,S&P 500,23780000000.0,2830000000.0,6920000000.0,15.18,1.33,0.6,2.02,936.0,Yes,Yes,2.4,8.33,6.83,1.06,3.44,1.96,22.45,42.07,1.8,1.8,0.26,0.25,-0.78,3.57,4.36,1.3,358.9,-14.04,,35.2,24.4,692.1,3996.7,Aug 02 Ae6C,4.99,0.7,-3.97,96.0,-0.6,17.3,29.9,8.2,82.6,54.1,41.0,19.8,16.11,803000000.0,782330000.0,4.25,3.45,36.92,16.73 - 35.93,-17.14,77.91,51.42,0.51,9640000.0,4949582.0,-1.52,6.91,-13.37,16.8,74.17,64.51,0.06,1.1,3.06 3.49,29.12,29.77,2.23
CTSH,Cognizant Technology Solutions Corporation,Technology | Information Technology Services | USA,S&P 500,34520000000.0,2260000000.0,19250000000.0,22.98,4.4,1.08,1.65,341300.0,Yes,Yes,2.6,15.21,13.1,1.48,1.79,2.85,14.88,19.29,2.2,2.2,0.05,0.05,-0.97,4.31,5.0,1.16,57.3,10.06,,9.7,6.5,7.0,14.4,Jul 27 Ae6C,-2.25,0.1,-3.01,93.2,-2.09,13.0,19.0,16.8,36.7,15.3,11.7,23.6,-16.7,520000000.0,517140000.0,1.3,2.21,77.96,61.59 - 93.47,-29.91,6.36,48.3,0.74,3050000.0,2261159.0,3.26,-5.11,-7.43,-25.27,-14.34,-26.16,1.06,1.35,2.33 1.89,64.35,65.51,1.8
CTVA,"Corteva, Inc.",Basic Materials | Agricultural Inputs | USA,S&P 500,44610000000.0,1760000000.0,16700000000.0,35.73,3.72,0.6,0.96,21000.0,Yes,Yes,2.3,25.9,20.43,1.59,2.67,1.75,16.8,62.05,1.3,1.9,0.08,0.05,1.42,2.41,3.06,-0.22,149.4,19.34,,29.8,2.4,11.1,0.7,Aug 04 Ae6C,8.67,0.1,-0.42,83.6,1.15,4.1,6.8,2.0,41.1,9.3,10.3,23.6,15.3,723000000.0,717640000.0,0.78,1.75,65.85,40.72 - 64.03,-2.36,53.54,61.85,0.63,3220000.0,2018053.0,2.81,4.04,2.36,16.66,43.46,32.23,0.7,1.34,2.43 1.88,62.04,62.52,0.77
CTXS,"Citrix Systems, Inc.",Technology | Software - Application | USA,S&P 500,13170000000.0,330400000.0,3310000000.0,6.5,6.87,1.48,1.43,9700.0,Yes,Yes,2.8,39.92,17.78,18.15,3.97,15.95,15.09,22.06,0.8,0.8,4.04,3.92,0.76,2.6,5.83,1.21,-39.1,2.77,,-4.0,3.3,5.8,81.3,,1.86,0.5,0.0,89.4,-4.69,4.8,54.3,9.7,81.3,9.9,10.0,28.1,5.03,126730000.0,125860000.0,4.33,5.21,100.2,78.07 - 115.00,-9.84,32.8,65.24,1.25,1050000.0,1303993.0,0.71,0.97,4.67,2.2,-4.27,9.61,0.08,0.55,0.29 0.46,103.7,103.68,-0.02
CVE,Cenovus Energy Inc.,Energy | Oil & Gas Integrated | Canada,,35200000000.0,3170000000.0,47140000000.0,9.93,,0.33,1.78,5938.0,Yes,Yes,2.1,11.85,4.25,,0.75,1.86,,11.09,1.1,1.7,0.55,0.54,-0.9,1.55,4.33,1.41,114.0,-3.75,-,20.0,33.3,80.2,985.7,Jul 28 e9e6O,2.41,0.1,0.0,73.1,0.33,7.6,17.2,6.3,49.9,14.6,6.7,15.3,9.19,1970000000.0,1440000000.0,1.11,1.66,24.98,8.18 - 24.91,-26.01,125.31,50.17,0.45,9680000.0,4347002.0,0.77,6.35,-23.69,15.48,120.19,50.08,2.3,0.83,3.55 3.54,17.73,18.43,3.95
CVLT,"Commvault Systems, Inc.",Technology | Software - Application | USA,,2390000000.0,23200000.0,784200000.0,6.05,,,,2848.0,Yes,Yes,2.5,106.06,17.37,10.61,3.05,8.77,,15.04,1.3,1.3,0.0,0.0,-5.6,0.5,3.05,0.5,207.3,17.69,,130.2,3.6,8.0,-73.5,Jul 26 e9e6O,-9.3,2.1,-3.88,97.0,2.1,2.9,8.6,12.4,84.4,4.3,3.0,0.0,-15.66,44740000.0,44350000.0,3.04,5.49,68.2,50.67 - 81.49,-34.92,4.66,37.38,0.83,245520.0,203062.0,0.25,-9.43,-16.28,-14.62,-32.47,-23.06,0.51,1.43,2.62 2.47,51.94,53.03,2.1
CVS,CVS Health Corporation,Healthcare | Healthcare Plans | USA,S&P 500,134770000000.0,8170000000.0,307860000000.0,57.26,11.36,2.2,2.15,300000.0,Yes,Yes,2.1,16.6,11.28,2.86,0.44,1.78,8.99,10.3,0.7,0.9,0.73,0.68,0.09,6.15,9.06,1.99,8.8,5.98,,3.9,10.5,11.0,6.5,Aug 03 e9e6O,3.74,0.2,-14.05,80.4,0.42,3.5,10.9,7.8,39.5,4.2,2.7,33.8,2.07,1310000000.0,1310000000.0,1.15,3.13,120.54,81.78 - 111.25,-8.18,24.91,55.99,0.81,4800000.0,3884694.0,2.22,-1.83,10.15,-1.85,19.6,-0.98,0.71,2.05,2.10 1.83,102.26,102.15,-0.11
CVX,Chevron Corporation,Energy | Oil & Gas Integrated | USA,DJIA S&P500,308550000000.0,29050000000.0,206100000000.0,78.84,6.41,5.68,3.55,42595.0,Yes,Yes,2.3,10.69,9.49,0.79,1.5,2.03,24.94,15.77,1.1,1.3,0.17,0.15,0.54,14.97,16.85,5.16,374.5,-10.91,,100.8,7.1,81.0,270.3,Jul 29 e9e6O,5.16,0.07,-49.06,71.9,0.09,11.8,20.2,6.7,39.9,16.0,14.1,36.7,7.71,1950000000.0,1790000000.0,1.14,2.13,178.07,93.31 - 182.40,-12.3,71.44,54.48,0.86,9600000.0,8247030.0,2.85,2.66,-9.89,-6.35,66.64,36.32,1.14,4.03,2.06 2.09,155.95,159.97,2.58
CWAN,"Clearwater Analytics Holdings, Inc.",Technology | Software - Application | USA,,3770000000.0,-10200000.0,278400000.0,1.27,1.19,,,1371.0,Yes,Yes,2.3,,58.85,,13.54,12.51,13.38,98.92,11.9,11.9,0.22,0.21,3.42,-0.05,0.27,0.05,81.8,24.42,,,,-37.7,,Aug 03 Ae6C,13.91,0.2,264.51,,0.17,-2.8,-4.9,7.0,71.2,0.0,-3.7,,-7.54,185780000.0,57490000.0,5.85,8.66,15.7,11.23 - 27.68,-42.59,41.5,63.9,0.62,387910.0,240888.0,7.36,5.37,13.91,-12.26,,-30.85,,0.57,3.08 3.26,15.82,15.89,0.44
CXM,"Sprinklr, Inc.",Technology | Software - Application | USA,,3180000000.0,-122100000.0,526400000.0,1.97,2.05,,,3245.0,Yes,Yes,2.1,,,,6.04,6.24,5.99,,2.0,2.0,0.0,0.0,3.44,-0.55,-0.12,-0.06,-267.6,36.8,-,,,30.6,33.3,Sep 08 Ae6C,6.74,2.4,-5.57,77.2,0.71,-13.9,-23.5,-20.6,70.1,-21.2,-23.2,,-0.37,256900000.0,107780000.0,1.78,3.83,14.86,9.41 - 20.29,-39.38,30.75,57.3,2.9,501980.0,1455473.0,8.66,-4.43,4.77,0.49,-37.21,-22.5,,0.59,4.89 4.41,11.56,12.3,6.4
CYBR,CyberArk Software Ltd.,Technology | Software - Infrastructure | Israel,,6310000000.0,-121400000.0,542800000.0,16.29,22.9,,,2140.0,Yes,Yes,1.6,,3837.5,,11.62,9.42,6.7,231.83,2.8,2.8,0.86,0.86,4.7,-3.02,0.04,-0.2,-309.1,105.8,-,-36.3,18.3,21.4,-61.5,Aug 10 e9e6O,10.08,0.09,0.0,93.9,0.77,-7.2,-17.5,-5.7,80.1,-22.6,-22.4,,3.19,40520000.0,40070000.0,4.87,5.25,178.95,100.35 - 201.68,-23.89,52.96,61.11,0.92,371570.0,341305.0,10.65,2.51,10.34,-2.55,-7.26,-11.42,1.15,6.85,4.56 4.15,145.36,153.5,5.6
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical | Resorts & Casinos | USA,S&P 500,10340000000.0,-1088000000.0,10390000000.0,17.05,4.66,,,23000.0,Yes,Yes,2.0,,76.96,,1.0,2.83,10.37,,1.0,1.0,7.2,7.18,4.24,-5.11,0.63,0.16,64.9,122.3,,-61.6,60.7,12.7,-67.1,Aug 02 Ae6C,9.43,0.4,4.16,98.1,0.93,-3.9,-35.0,4.9,43.7,9.9,-14.1,,-26.22,214000000.0,204910000.0,6.15,3.53,73.5,35.10 - 119.81,-59.66,37.69,58.8,0.71,3570000.0,2543201.0,13.72,-0.14,-3.65,-37.61,-54.66,-48.33,2.76,2.4,4.89 4.40,46.18,48.33,4.66
DAR,Darling Ingredients Inc.,Consumer Defensive | Packaged Foods | USA,,12520000000.0,692600000.0,5510000000.0,21.61,0.91,,,9900.0,Yes,Yes,1.6,18.63,11.68,0.43,2.27,3.61,85.36,26.76,1.0,1.6,0.83,0.82,2.57,4.19,6.67,1.38,119.4,28.92,,44.5,6.9,37.7,4.5,Aug 09 Ae6C,13.56,1.1,-13.77,96.9,-0.31,10.4,20.7,15.2,25.6,16.8,12.6,0.0,9.81,161630000.0,158930000.0,1.22,1.29,99.0,55.71 - 87.59,-10.98,39.96,61.09,0.48,1490000.0,711442.0,3.56,5.39,-5.67,3.79,10.5,12.53,1.2,2.44,3.37 2.92,76.41,77.97,2.04
DBX,"Dropbox, Inc.",Technology | Software - Infrastructure | USA,,8430000000.0,341900000.0,2250000000.0,-1.49,3.91,,,2667.0,Yes,Yes,2.5,21.58,13.14,1.28,3.74,,5.83,11.71,1.4,1.4,,,-0.25,1.05,1.73,0.38,266.0,13.06,,31.4,20.6,7.9,-36.8,Aug 04 Ae6C,0.17,4.2,-2.29,82.7,-0.02,11.4,-93.5,22.8,80.2,14.2,15.2,0.0,-0.3,364100000.0,272440000.0,5.19,5.66,27.33,19.07 - 32.42,-29.84,19.3,52.75,0.93,2500000.0,2316954.0,7.01,-7.86,0.18,7.87,-29.13,-7.29,0.85,0.63,2.64 2.29,22.1,22.75,2.94
DCT,"Duck Creek Technologies, Inc.",Technology | Software - Application | USA,,1580000000.0,-11500000.0,293100000.0,5.53,2.76,,,1653.0,Yes,Yes,2.1,,98.76,,5.4,2.16,4.33,3165.79,6.9,6.9,0.0,0.0,-5.58,-0.09,0.12,0.02,43.6,24.74,,,,6.6,,Jun 29 Ae6C,-13.39,0.2,2.52,78.1,5.74,-1.4,-1.6,-2.4,57.4,-2.5,-3.9,,-40.82,132520000.0,96770000.0,2.73,3.01,20.0,11.41 - 50.90,-76.52,4.73,37.44,0.68,875640.0,595622.0,1.44,-16.43,-37.7,-47.19,-75.97,-60.31,,0.46,2.76 3.40,11.65,11.95,2.58
DDD,3D Systems Corporation,Technology | Computer Hardware | USA,,1340000000.0,226700000.0,580000000.0,6.14,4.83,,,1721.0,Yes,Yes,3.1,5.56,,0.19,2.3,1.65,2.09,,4.9,5.5,0.58,0.58,-5.64,1.82,-0.06,-0.07,300.4,1800.0,,56.5,-0.6,-13.9,-227.3,Aug 08 Ae6C,-5.55,1.9,-1.37,68.1,0.41,16.4,28.3,-2.4,40.9,-13.2,39.1,0.0,-31.12,127700000.0,127020000.0,9.02,8.27,11.69,8.78 - 34.97,-71.09,15.08,44.91,1.07,1390000.0,1477744.0,3.27,-14.54,-3.81,-32.37,-68.45,-53.06,1.43,0.56,4.58 4.20,9.81,10.11,3.06
DDOG,"Datadog, Inc.",Technology | Software - Application | USA,,31880000000.0,6500000.0,1370000000.0,3.86,5.37,,,3200.0,Yes,Yes,1.9,5585.56,91.48,111.93,23.34,26.05,18.71,83.39,3.3,3.3,0.61,0.61,-4.59,0.02,1.1,0.16,17.9,41.08,,,,73.9,49.0,Aug 04 e9e6O,-2.48,0.8,-11.55,80.9,3.89,0.3,0.6,-1.2,79.0,0.8,0.5,0.0,-21.87,314800000.0,261660000.0,4.03,2.25,141.19,81.12 - 199.68,-49.65,23.94,46.98,1.01,4700000.0,4764280.0,3.5,-14.62,-2.99,-28.27,-28.64,-43.55,,5.9,4.77 4.64,97.89,100.54,2.71
DE,Deere & Company,Industrials | Farm & Heavy Construction Machinery | USA,S&P 500,114260000000.0,6170000000.0,48040000000.0,62.59,14.2,4.52,1.21,75550.0,Yes,Yes,2.2,18.6,14.24,1.35,2.38,5.95,26.21,70.18,,,2.69,1.69,0.64,20.01,26.14,7.15,118.6,13.68,,31.6,10.5,22.6,16.0,Aug 19 e9e6O,10.12,0.1,-12.04,70.7,-1.69,7.4,33.3,10.2,31.8,17.6,12.8,20.1,2.41,304100000.0,285380000.0,1.07,1.95,399.0,283.81 - 446.76,-16.68,31.16,60.02,0.79,1560000.0,1236894.0,2.33,5.64,7.8,-1.56,2.03,8.56,1.06,9.32,2.19 2.57,368.48,372.25,1.02
DG,Dollar General Corporation,Consumer Defensive | Discount Stores | USA,S&P 500,55810000000.0,2320000000.0,35350000000.0,27.35,1.45,2.2,0.89,163000.0,Yes,Yes,2.1,24.63,19.45,2.16,1.58,9.04,171.05,66.29,0.1,1.0,0.84,0.69,0.08,10.04,12.71,2.53,-4.2,9.86,,18.1,9.3,9.0,10.6,Aug 25 e9e6O,-0.4,0.3,-38.77,96.7,-1.26,8.6,37.6,24.5,31.4,8.8,6.5,13.8,7.85,226300000.0,224730000.0,1.87,2.55,266.0,183.25 - 262.20,-5.7,34.93,51.98,0.69,1650000.0,1141798.0,1.85,-2.8,4.02,19.98,12.32,4.85,0.41,5.1,2.04 2.19,247.41,247.26,-0.06
DIOD,Diodes Incorporated,Technology | Semiconductors | USA,,3230000000.0,286800000.0,1930000000.0,29.9,6.79,,,8921.0,Yes,Yes,2.1,11.38,9.86,0.76,1.67,2.37,10.46,20.24,1.7,2.4,0.2,0.17,-6.55,6.24,7.2,1.85,165.6,1.22,,73.3,13.9,13.8,43.3,Aug 04 Ae6C,-3.97,1.6,-0.31,99.5,1.12,13.2,22.7,12.8,40.1,18.7,14.8,0.0,-15.13,45270000.0,44610000.0,2.9,5.25,102.2,58.52 - 113.98,-37.72,21.31,42.46,0.43,246310.0,105258.0,3.54,-10.97,-3.55,-15.52,-23.94,-35.35,1.32,2.74,2.95 3.10,69.41,70.99,2.28
DIS,The Walt Disney Company,Communication Services | Entertainment | USA,DJIA S&P500,212490000000.0,3190000000.0,81110000000.0,50.74,7.02,,,190000.0,Yes,Yes,2.0,65.93,21.24,1.76,2.62,2.27,16.4,174.75,1.0,1.0,0.56,0.5,-1.12,1.75,5.42,0.62,170.7,40.34,,-28.0,3.9,26.3,53.1,Aug 10 Ae6C,7.51,0.15,-0.12,63.8,-1.65,1.5,3.5,2.2,34.4,8.1,3.9,0.0,-8.69,1820000000.0,1820000000.0,1.13,1.79,147.57,90.23 - 187.58,-38.6,27.65,55.86,0.83,11510000.0,9526233.0,2.35,2.45,11.5,-13.81,-38.05,-25.64,1.21,3.19,2.60 2.47,112.33,115.18,2.54
DISH,DISH Network Corporation,Communication Services | Entertainment | USA,S&P 500,10730000000.0,2060000000.0,17440000000.0,31.22,4.96,,,14500.0,Yes,Yes,2.2,5.96,14.89,,0.62,0.62,3.9,9.32,0.6,0.6,1.27,1.08,6.9,3.24,1.3,0.56,25.6,-49.44,-,3.8,3.3,-6.2,-22.2,Aug 03 e9e6O,6.54,8.9,4.35,84.3,-1.05,4.4,13.1,6.6,33.4,15.3,11.8,0.0,-26.25,530090000.0,250690000.0,11.25,7.51,36.31,16.20 - 46.31,-58.26,19.28,58.89,1.28,3760000.0,4818648.0,8.53,-0.1,-2.91,-36.64,-55.96,-40.41,1.81,0.95,6.32 4.60,17.8,19.33,8.6
DKNG,DraftKings Inc.,Consumer Cyclical | Gambling | USA,,8150000000.0,-1556100000.0,1570000000.0,4.04,4.2,,,3400.0,Yes,Yes,2.3,,,,5.19,4.36,4.2,,2.3,2.3,0.71,0.71,-0.42,-3.79,-2.26,-1.05,6.1,36.0,,,,56.7,34.7,Aug 05 e9e6O,14.15,2.1,-9.93,56.6,-2.88,-38.4,-93.5,-53.6,33.1,,-99.1,,-7.09,437030000.0,415790000.0,9.58,2.05,26.21,9.77 - 64.50,-72.67,80.45,56.61,0.91,19420000.0,17752341.0,10.46,-8.89,27.57,0.28,-72.31,-35.82,,1.13,5.55 5.94,16.99,17.63,3.77
