,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,-,8650000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.81,12200.0,Yes,Yes,2.1,9.72,6.92,-,0.65,1.58,5.28,7.75,1.0,1.8,0.3,0.3,-5.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,1.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-19.89,182000000.0,173820000.0,4.5,1.33,58.22,39.56 - 98.09,-49.79,24.48,45.41,0.67,5870000.0,3947643.0,-11.8,2.93,-20.35,-45.68,4.99,-17.34,2.32,2.67,5.04 4.58,48.08,49.25,2.43
DT,"Dynatrace, Inc.",Technology | Software - Application | USA,-,10510000000.0,41300000.0,987000000.0,4.7,2.0,-,,3600.0,Yes,Yes,2.0,258.8,38.85,11.58,10.65,7.82,18.4,36.38,1.1,1.1,0.18,0.18,-8.88,0.14,0.95,0.18,-31.8,26.13,,130.9,18.0,27.5,-84.2,Aug 03 e9e6O,-7.46,0.6,-3.74,98.2,2.01,1.7,3.2,3.9,81.2,8.0,4.2,0.0,-19.24,286200000.0,194420000.0,4.23,3.63,50.6,29.41 - 80.13,-54.14,24.96,35.84,0.76,2270000.0,1716701.0,-3.69,-9.79,-10.32,-11.3,-46.95,-39.11,-,1.5,4.06 3.08,36.58,36.75,0.46
DTE,DTE Energy Company,Utilities | Utilities - Regulated Electric | USA,S&P 500,25720000000.0,788000000.0,17860000000.0,44.42,0.34,3.54,2.7,10300.0,Yes,Yes,2.2,32.28,20.88,8.15,1.44,2.95,383.83,17.39,0.5,0.6,2.23,1.82,-1.75,4.06,6.28,1.75,-24.9,4.25,,-3.3,7.1,63.0,-68.1,Jul 28 e9e6O,1.79,0.2,-2.45,74.5,-0.13,1.9,8.8,4.6,,6.6,4.3,88.4,4.83,193000000.0,192480000.0,1.34,2.9,140.25,108.22 - 140.23,-6.48,21.18,47.66,0.85,890230.0,760837.0,-1.56,1.66,-0.72,2.55,7.38,9.7,0.61,2.15,2.11 1.44,132.74,131.14,-1.21
DVN,Devon Energy Corporation,Energy | Oil & Gas E&P | USA,S&P 500,44630000000.0,5210000000.0,17180000000.0,15.48,5.45,4.66,6.62,1600.0,Yes,Yes,2.1,8.92,6.96,0.24,2.6,4.54,12.91,8.58,1.6,1.6,0.67,0.66,5.52,7.89,10.11,2.29,161.7,5.83,,32.1,3.4,132.8,678.9,Aug 01 Ae6C,16.85,0.6,-5.24,80.3,-6.23,23.9,55.4,19.7,53.6,38.7,30.3,49.4,23.15,652000000.0,646530000.0,2.63,1.37,78.42,26.91 - 79.40,-11.41,161.34,58.93,0.81,12450000.0,10079505.0,-3.34,29.09,-8.67,18.08,147.17,59.68,2.49,3.11,4.07 4.04,68.16,70.34,3.2
DXC,DXC Technology Company,Technology | Information Technology Services | USA,S&P 500,6140000000.0,542000000.0,15830000000.0,20.32,9.89,-,,130000.0,Yes,Yes,2.8,12.46,5.93,0.76,0.39,1.35,2.78,4.18,1.1,1.1,1.01,0.82,7.06,2.21,4.63,0.73,562.8,30.93,,39.0,16.4,-10.5,-59.8,Aug 03 Ae6C,-3.39,0.8,0.0,91.2,-3.36,2.7,11.2,8.8,21.9,6.0,3.4,0.0,-11.51,232480000.0,228520000.0,3.8,5.09,35.73,23.99 - 39.65,-30.69,14.55,54.81,3.88,1710000.0,6619049.0,12.95,5.09,-22.04,-8.4,-22.9,-14.63,2.07,1.13,4.62 3.47,26.7,27.48,2.92
DXCM,"DexCom, Inc.",Healthcare | Diagnostics & Research | USA,S&P 500,32620000000.0,199700000.0,2670000000.0,5.75,6.93,-,,6300.0,Yes,Yes,1.6,173.0,74.21,5.51,12.2,14.26,11.84,151.35,4.3,4.7,0.9,0.9,-5.5,0.47,1.1,0.24,-69.5,40.94,,31.7,33.7,17.0,-23.5,Jul 28 Ae6C,-1.33,0.4,-0.95,96.6,-2.21,4.0,9.3,6.0,67.2,8.8,7.5,0.0,-20.74,392500000.0,391030000.0,3.42,4.63,98.93,66.89 - 164.86,-50.26,22.58,43.9,0.69,2900000.0,2003666.0,-2.95,-8.42,12.03,-24.08,-39.23,-38.91,1.05,3.6,3.67 3.75,83.08,82.0,-1.3
EA,Electronic Arts Inc.,Communication Services | Electronic Gaming & Multimedia | USA,S&P 500,35500000000.0,896000000.0,7210000000.0,27.39,8.53,0.76,0.61,12900.0,Yes,Yes,2.0,39.72,15.67,4.12,4.93,4.58,14.69,22.7,1.2,1.2,0.0,0.25,-3.55,3.15,8.0,1.36,-3.8,11.3,,-2.2,7.6,13.9,56.8,Aug 02 Ae6C,-2.22,0.2,-21.53,94.6,1.0,6.6,11.7,8.8,74.4,17.3,12.4,22.1,-2.71,279000000.0,276570000.0,1.11,1.49,153.06,109.24 - 147.76,-15.18,14.73,42.16,0.65,2050000.0,1339627.0,-5.18,-5.94,-11.11,-0.92,-13.8,-4.98,0.84,3.04,2.30 1.96,127.68,125.33,-1.84
EBAY,eBay Inc.,Consumer Cyclical | Internet Retail | USA,S&P 500,24600000000.0,-2485000000.0,10020000000.0,9.43,5.74,0.88,2.0,10800.0,Yes,Yes,2.6,-,10.01,-,2.45,4.68,7.69,53.47,1.3,1.3,1.47,1.25,-5.85,-4.29,4.41,0.93,-89.0,8.87,,-43.1,2.3,-9.2,-324.6,Aug 03 Ae6C,-3.65,0.2,-6.16,89.9,-4.23,1.5,4.6,14.7,72.8,25.6,3.8,194.0,-18.61,556000000.0,544470000.0,2.96,2.77,54.63,40.52 - 81.19,-45.67,8.86,39.31,0.72,5820000.0,4187948.0,-0.94,-7.85,-6.33,-20.75,-42.33,-33.67,1.23,1.45,2.57 2.66,44.77,44.11,-1.47
EBIX,"Ebix, Inc.",Technology | Software - Application | USA,-,786300000.0,69400000.0,995600000.0,20.7,2.74,0.3,1.22,10030.0,Yes,Yes,1.5,10.93,7.51,1.09,0.79,1.19,9.01,17.63,0.4,0.4,1.01,0.0,1.56,2.26,3.29,0.64,-26.3,23.73,,-4.9,27.2,1.8,22.9,Aug 09 e9e6O,14.2,24.77,0.0,69.6,3.71,4.5,10.7,8.5,31.0,12.1,7.0,13.3,-12.82,30750000.0,23250000.0,25.9,11.17,99.5,12.50 - 44.42,-44.44,97.44,53.36,0.58,539410.0,310305.0,2.19,3.18,-20.57,0.0,-15.13,-18.82,2.62,1.55,6.55 6.61,25.44,24.68,-2.99
ECOM,ChannelAdvisor Corporation,Technology | Software - Application | USA,-,423950000.0,40900000.0,172100000.0,5.64,2.92,-,,846.0,Yes,Yes,2.0,11.51,14.5,1.44,2.46,2.61,5.04,15.09,2.8,2.8,0.0,0.0,-4.44,1.28,1.01,0.19,139.1,21.29,,46.7,8.2,3.1,-59.1,Aug 09 e9e6O,-1.91,2.8,-3.36,95.4,-4.42,18.0,23.4,25.5,76.1,9.2,23.7,0.0,-16.64,29950000.0,27950000.0,3.07,4.33,23.5,11.89 - 29.42,-50.03,23.63,42.0,0.63,198590.0,124932.0,-4.11,-2.84,1.52,-15.71,-44.61,-40.44,0.76,0.48,2.84 3.22,14.76,14.7,-0.41
ED,"Consolidated Edison, Inc.",Utilities | Utilities - Regulated Electric | USA,S&P 500,35260000000.0,1620000000.0,14500000000.0,57.54,3.15,3.16,3.21,13871.0,Yes,Yes,3.4,21.56,20.4,4.12,2.43,1.71,31.29,16.09,0.8,0.9,1.24,1.1,-0.69,4.57,4.83,1.49,17.5,7.31,,-1.4,2.5,14.9,50.5,Aug 04 Ae6C,2.38,0.1,0.46,68.0,1.05,2.5,8.0,4.9,79.2,17.2,11.2,68.3,8.72,354300000.0,354150000.0,2.04,4.5,89.25,71.52 - 101.57,-3.04,37.7,51.29,0.73,1600000.0,1173814.0,-0.05,1.08,0.58,9.57,27.68,15.42,0.25,1.63,2.04 1.49,99.44,98.48,-0.97
EDR,"Endeavor Group Holdings, Inc.",Communication Services | Entertainment | USA,-,10590000000.0,368300000.0,5680000000.0,6.75,3.93,-,,7700.0,Yes,Yes,1.8,17.11,15.1,0.7,1.86,3.38,5.8,19.6,1.5,1.5,2.99,2.94,-2.6,1.33,1.51,0.29,56.2,12.44,,-32.3,16.5,18.1,107.4,Aug 11 Ae6C,1.57,0.6,-24.79,95.7,1.03,3.3,24.4,-0.4,52.8,17.2,6.5,0.0,-13.36,281620000.0,49070000.0,2.93,1.58,31.42,17.42 - 35.28,-35.41,30.83,48.57,0.76,910950.0,696074.0,0.89,-3.68,-2.61,-15.75,-15.59,-34.68,-,0.75,3.14 3.08,22.54,22.79,1.11
EE,"Excelerate Energy, Inc.",Utilities | Utilities - Regulated Electric | USA,-,2740000000.0,-,1320000000.0,5.37,3.97,0.1,0.37,175.0,Yes,Yes,2.0,-,16.05,-,2.08,5.08,6.87,-,2.1,2.4,1.14,1.06,8.28,-,1.7,0.3,6.1,86.51,-,,,278.0,-105.2,Aug 10 Ae6C,19.71,1.8,0.0,61.33,77.73,,,5.8,,,,,12.26,108280000.0,25770000.0,4.69,1.84,31.43,18.31 - 30.82,-11.42,49.1,61.94,0.9,657990.0,590818.0,2.59,20.74,-8.63,,,1.68,-,1.41,7.98 5.33,25.28,27.3,7.99
EEFT,"Euronet Worldwide, Inc.",Technology | Software - Infrastructure | USA,-,4370000000.0,136300000.0,3190000000.0,20.23,37.93,-,,8800.0,Yes,Yes,1.7,34.28,10.32,2.29,1.37,4.3,2.29,10.74,1.5,1.5,2.05,1.61,-10.15,2.54,8.43,2.61,82.9,31.36,,-16.4,8.9,18.0,565.6,Jul 28 e9e6O,-12.06,3.4,0.0,96.7,-5.51,2.8,11.1,4.4,38.8,8.8,4.3,0.0,-24.98,50400000.0,47030000.0,2.66,3.32,143.75,85.77 - 149.92,-42.02,1.35,25.89,0.81,376610.0,304949.0,-5.42,-10.69,-27.83,-15.99,-35.88,-27.05,1.34,2.87,2.71 2.39,88.09,86.93,-1.32
EGHT,"8x8, Inc.",Technology | Software - Application | USA,-,572200000.0,-157500000.0,677400000.0,1.12,1.15,-,,2216.0,Yes,Yes,2.6,-,13.47,-,0.84,4.16,4.04,17.72,1.6,1.6,3.7,3.7,-6.58,-1.37,0.35,0.04,1.2,29.59,-,-13.92,20.3,26.5,45.5,Jul 27 Ae6C,-8.79,2.8,-6.13,96.7,1.4,-19.5,-107.6,-24.4,62.4,-21.0,-23.3,,-57.72,119720000.0,116200000.0,11.92,6.12,6.95,4.22 - 25.99,-82.07,10.43,44.49,0.74,2260000.0,1665620.0,-3.32,6.88,-35.46,-60.1,-81.97,-72.2,1.23,0.42,7.49 7.84,4.77,4.66,-2.31
EGLE,Eagle Bulk Shipping Inc.,Industrials | Marine Shipping | USA,-,592740000.0,313300000.0,751200000.0,58.94,10.21,8.8,20.22,1000.0,Yes,Yes,1.8,2.27,3.43,-,0.79,0.74,4.26,2.23,1.6,1.8,0.48,0.42,-11.48,19.2,12.68,4.87,446.6,-33.17,-,16.6,36.7,53.0,675.1,Aug 04 Ae6C,-11.83,1.9,-15.91,88.3,7.06,26.8,45.8,24.3,67.1,44.8,41.7,24.9,-18.71,12990000.0,12750000.0,11.24,3.47,74.1,36.21 - 78.75,-44.74,20.19,33.24,0.61,413720.0,253297.0,-7.13,-10.82,-42.81,-21.4,-13.32,-4.35,1.4,2.18,4.08 4.14,43.3,43.52,0.51
EIX,Edison International,Utilities | Utilities - Regulated Electric | USA,S&P 500,26040000000.0,507000000.0,16610000000.0,36.21,0.32,2.8,4.12,13003.0,Yes,Yes,2.3,51.06,14.0,10.21,1.57,1.88,213.44,-,0.6,0.6,2.12,1.82,-2.44,1.33,4.86,1.73,1.1,8.01,,-12.7,4.7,20.9,-24.4,Jul 28 Ae6C,3.18,0.09,0.14,90.3,1.02,0.7,3.9,3.9,66.4,7.6,3.2,204.6,2.9,381000000.0,380990000.0,1.46,3.56,74.06,54.98 - 73.32,-7.31,23.61,47.54,0.83,1570000.0,1296256.0,-1.89,-1.44,-2.61,3.61,14.93,-0.42,0.68,1.4,2.32 1.80,68.27,67.96,-0.45
ENLV,Enlivex Therapeutics Ltd.,Healthcare | Biotechnology | Israel,-,95000000.0,-26300000.0,-,3.73,3.39,-,,71.0,Yes,Yes,-,-,-,-,-,1.38,1.52,-,15.4,15.4,0.0,0.0,-1.52,-1.43,-,-0.29,9.8,,-,54.2,,,-217.8,-,5.16,12.22,0.0,11.0,-10.67,-29.3,-32.9,,,,,,-5.3,18380000.0,14720000.0,1.41,4.32,15.0,3.65 - 12.19,-57.67,41.37,50.46,0.13,48060.0,6044.0,-9.95,1.78,0.0,4.24,-57.18,-17.44,0.95,0.33,4.73 6.28,5.17,5.16,-0.19
ENPH,"Enphase Energy, Inc.",Technology | Solar | USA,S&P 500,38180000000.0,203200000.0,1740000000.0,3.34,9.12,-,,2260.0,Yes,Yes,2.0,196.81,56.0,6.11,22.0,83.55,30.6,81.83,3.3,3.6,2.85,2.66,-4.2,1.42,4.98,1.07,7.8,21.95,,22.5,33.8,67.7,92.6,Jul 26 Ae6C,11.94,1.2,-18.7,76.3,3.58,9.0,43.7,12.5,40.3,14.4,11.7,0.0,42.22,135200000.0,132720000.0,3.57,1.49,277.58,113.40 - 308.88,-9.65,146.09,51.1,0.79,3180000.0,2519487.0,-3.3,-5.66,42.14,76.46,57.76,52.55,1.46,15.37,5.29 4.85,281.86,279.07,-0.99
ENTG,"Entegris, Inc.",Technology | Semiconductor Equipment & Materials | USA,-,13800000000.0,460900000.0,2560000000.0,14.07,1.69,0.4,0.43,6850.0,Yes,Yes,1.8,27.28,18.9,1.63,5.4,6.54,54.56,188.05,8.4,9.9,1.78,1.78,-9.07,3.38,4.87,1.05,38.4,14.96,,34.4,14.4,21.2,12.1,Aug 02 e9e6O,-7.82,0.5,-7.39,96.8,2.32,12.0,26.1,17.3,46.1,24.3,18.0,10.6,-22.39,135900000.0,127830000.0,3.51,2.99,142.92,85.92 - 158.00,-41.72,7.17,37.51,0.63,1500000.0,950380.0,-8.02,-13.24,-17.55,-20.83,-23.94,-33.55,1.27,4.22,3.80 3.73,92.66,92.08,-0.63
ENV,"Envestnet, Inc.",Technology | Software - Application | USA,-,2880000000.0,-30500000.0,1260000000.0,16.9,6.02,-,,4375.0,Yes,Yes,2.7,-,21.7,-,2.28,3.03,8.51,17.69,0.8,0.8,0.91,0.54,-9.33,-0.56,2.36,0.42,513.7,24.07,,16.9,15.5,10.5,-177.3,Aug 04 Ae6C,-6.82,1.0,-0.29,,-1.12,-1.4,-3.2,1.8,61.8,-2.0,-2.4,,-25.55,55200000.0,52650000.0,5.06,6.23,73.43,49.08 - 85.99,-40.42,4.38,31.19,0.71,427580.0,302095.0,-4.79,-11.27,-20.98,-30.18,-35.41,-35.43,1.18,1.57,2.65 2.75,52.12,51.23,-1.71
EOG,"EOG Resources, Inc.",Energy | Oil & Gas E&P | USA,S&P 500,69570000000.0,5710000000.0,22110000000.0,38.27,5.37,3.0,2.47,2800.0,Yes,Yes,2.0,12.47,7.42,1.19,3.15,3.18,22.64,21.45,1.3,1.4,0.23,0.17,3.93,9.75,16.38,4.31,864.8,4.67,,43.2,20.1,78.8,145.1,Aug 04 Ae6C,10.43,0.3,-1.56,89.7,0.83,15.1,26.0,17.7,61.5,33.7,25.8,27.2,10.84,585090000.0,583620000.0,0.97,1.36,146.12,63.15 - 145.98,-16.76,92.42,58.15,0.57,4150000.0,2349009.0,-2.45,21.74,-13.54,4.64,85.99,39.88,1.54,4.49,3.40 3.43,118.71,121.52,2.37
EPAM,"EPAM Systems, Inc.",Technology | Information Technology Services | USA,S&P 500,23650000000.0,366300000.0,4460000000.0,45.81,23.59,-,,58824.0,Yes,Yes,1.6,66.56,32.43,3.34,5.3,9.0,17.47,59.55,3.4,3.4,0.01,0.01,-5.26,6.19,12.71,2.49,45.7,28.32,,34.3,26.5,35.6,-83.8,Aug 04 e9e6O,11.63,2.4,-4.8,94.5,2.56,10.6,14.6,19.4,32.6,11.9,8.2,0.0,2.37,57240000.0,55560000.0,2.13,2.43,510.14,168.59 - 725.40,-43.18,144.46,50.73,0.55,485390.0,265661.0,-2.47,-0.78,24.01,107.61,-34.9,-38.34,1.67,16.8,3.74 3.57,412.21,412.14,-0.02
EQT,EQT Corporation,Energy | Oil & Gas E&P | USA,-,17130000000.0,-803500000.0,4320000000.0,24.5,0.12,0.6,1.27,693.0,Yes,Yes,1.9,-,5.7,-,3.96,1.93,392.06,15.47,0.6,0.6,0.56,0.51,1.21,-2.65,8.3,1.03,3.6,100.12,,6.9,17.2,213.4,165.5,Jul 27 Ae6C,13.19,0.3,-1.05,96.8,1.19,-3.6,-9.0,-6.0,45.1,,-18.6,,42.95,369870000.0,368190000.0,5.54,2.88,59.1,17.95 - 51.73,-8.6,163.4,54.31,0.74,7080000.0,5259091.0,-4.81,14.62,-1.48,79.36,138.43,116.78,1.16,2.5,5.41 5.09,46.31,47.28,2.09
ESLT,Elbit Systems Ltd.,Industrials | Aerospace & Defense | Israel,-,9310000000.0,274300000.0,5280000000.0,57.26,5.78,2.0,0.97,17787.0,No,Yes,2.5,33.31,22.34,3.06,1.76,3.61,35.76,62.41,0.8,1.2,0.39,0.35,-6.19,6.2,9.25,2.11,15.3,22.52,,2.3,10.1,8.5,-88.0,Aug 16 e9e6O,-6.95,45.7,0.0,6.2,-7.4,3.1,11.3,8.2,25.7,7.9,5.2,21.6,4.26,44210000.0,24640000.0,0.38,3.62,157.0,142.20 - 244.80,-15.58,45.32,39.29,0.32,25580.0,8077.0,0.87,-11.61,-0.51,1.6,41.84,18.68,0.64,5.39,1.73 1.80,208.04,206.65,-0.67
ESMT,"EngageSmart, Inc.",Technology | Software - Infrastructure | USA,-,3250000000.0,-300000.0,258300000.0,4.77,1.67,-,,789.0,Yes,Yes,1.8,-,89.46,-,12.57,4.14,11.84,127.28,7.4,7.4,0.0,0.0,-5.95,-0.0,0.22,0.04,-33.5,3.27,,,,42.9,324.5,Aug 04 e9e6O,3.46,0.7,-2.13,89.7,1.82,0.0,0.0,-0.1,75.4,0.3,-0.1,,-3.61,162990000.0,151950000.0,1.28,3.63,29.88,15.64 - 38.83,-49.09,26.41,44.63,0.65,535950.0,347233.0,-0.9,-5.86,-9.93,4.55,,-18.03,-,0.76,3.51 3.29,19.81,19.77,-0.2
ESTC,Elastic N.V.,Technology | Software - Application | USA,-,7730000000.0,-238900000.0,919400000.0,4.16,8.97,-,,3056.0,Yes,Yes,1.8,-,281.86,-,8.41,19.65,9.11,-,2.0,2.0,1.44,1.44,-2.06,-2.56,0.29,-0.1,-48.4,154.8,,-24.1,57.8,29.5,-94.4,Aug 25 Ae6C,3.41,8.9,-0.32,78.2,2.66,-15.1,-56.5,-18.3,72.2,-22.1,-26.0,,-8.58,94620000.0,77430000.0,3.82,2.33,103.87,50.74 - 189.84,-56.94,61.1,49.89,0.8,1270000.0,1014907.0,-1.47,-5.82,15.03,2.62,-50.07,-33.59,1.1,4.46,5.99 4.83,81.4,81.74,0.42
ESTE,"Earthstone Energy, Inc.",Energy | Oil & Gas E&P | USA,-,1990000000.0,161600000.0,923100000.0,16.32,0.0,-,,81.0,Yes,Yes,2.5,8.56,2.26,0.24,2.15,0.9,-,4.2,0.6,0.6,0.0,0.31,-2.06,1.71,6.47,1.6,256.8,14.96,,17.5,58.3,426.9,803.8,Aug 04 Ae6C,6.13,1.5,-7.01,67.6,19.97,7.5,20.8,21.4,82.4,58.4,17.5,0.0,7.58,78290000.0,28190000.0,51.14,7.7,28.14,7.85 - 22.25,-34.2,86.5,48.83,0.82,1870000.0,1537893.0,-10.29,10.24,-29.34,6.32,72.24,33.82,2.04,0.95,6.83 6.29,14.32,14.64,2.23
ETR,Entergy Corporation,Utilities | Utilities - Diversified | USA,S&P 500,23800000000.0,1230000000.0,12350000000.0,57.58,2.83,4.04,3.48,12369.0,Yes,Yes,2.1,19.24,17.22,3.18,1.93,2.02,41.05,16.66,0.6,0.9,2.29,2.1,-2.64,6.04,6.75,2.63,-19.7,5.88,,29.9,1.6,20.3,-17.4,Aug 03 e9e6O,1.33,0.4,-20.9,92.8,3.29,2.1,10.6,4.3,86.7,14.7,9.9,65.5,2.94,203380000.0,202660000.0,1.82,3.51,129.0,98.50 - 126.82,-8.35,18.0,45.48,1.14,1050000.0,1192204.0,-2.31,-2.28,-3.15,3.55,2.21,3.17,0.57,2.12,2.28 1.64,117.02,116.22,-0.68
ETSY,"Etsy, Inc.",Consumer Cyclical | Internet Retail | USA,S&P 500,13440000000.0,405600000.0,2410000000.0,4.57,7.92,-,,2722.0,Yes,Yes,2.2,37.88,39.73,-,5.57,23.13,13.35,23.95,2.9,2.9,4.11,4.1,-4.18,2.79,2.66,0.37,23.6,23.08,,71.4,44.9,10.6,-25.1,Jul 27 Ae6C,7.88,0.6,-22.99,99.29,4.78,11.2,67.9,16.0,70.7,15.9,17.0,0.0,-22.25,127090000.0,125660000.0,11.43,3.8,118.09,67.01 - 307.75,-65.65,57.77,50.46,0.69,3780000.0,2624642.0,1.41,-3.3,30.55,-30.25,-50.48,-51.71,1.86,5.55,5.30 4.76,106.13,105.72,-0.39
ETWO,"E2open Parent Holdings, Inc.",Technology | Software - Application | USA,-,2000000000.0,-34900000.0,519600000.0,10.44,0.42,-,,3682.0,Yes,Yes,2.0,-,19.85,-,3.85,0.63,15.49,-,0.7,0.7,0.34,0.33,-11.07,-0.15,0.33,0.08,-240.2,24.53,,,,141.9,95.0,Jul 11 Ae6C,-10.25,0.4,-4.64,,-0.62,-0.7,-1.2,-2.1,49.3,-20.1,-6.7,,-25.06,305600000.0,237700000.0,5.94,7.08,11.25,6.07 - 13.32,-50.83,8.0,35.77,0.84,1990000.0,1673816.0,-6.16,-9.28,-19.63,-25.06,-47.01,-41.83,-,0.27,3.71 3.29,6.63,6.55,-1.21
EVBG,"Everbridge, Inc.",Technology | Software - Application | USA,-,1590000000.0,-94400000.0,402900000.0,6.65,11.74,-,,1893.0,Yes,Yes,2.6,-,48.73,-,3.94,5.9,3.34,-,2.1,2.1,3.08,3.08,8.45,-2.41,0.81,0.16,7.5,124.23,-,-29.8,36.8,18.9,-2.8,Aug 09 Ae6C,24.05,0.4,-3.17,99.7,2.96,-6.6,-26.4,-5.0,68.6,-18.8,-23.4,,-19.92,39570000.0,39390000.0,5.04,2.45,37.7,24.10 - 167.40,-76.57,62.78,60.39,0.52,808790.0,417090.0,-6.57,23.6,-1.8,7.6,-75.86,-41.73,0.68,2.34,5.35 5.53,39.91,39.23,-1.7
EVOP,"EVO Payments, Inc.",Technology | Software - Infrastructure | USA,-,1720000000.0,3100000.0,532800000.0,-12.48,8.48,-,,2300.0,Yes,Yes,1.9,520.31,25.75,31.66,3.23,-,3.93,11.03,1.3,1.3,-,-,-0.41,0.06,1.29,0.31,86.6,15.45,,-15.4,3.4,12.7,135.9,Aug 03 e9e6O,14.77,0.9,-13.07,,0.83,0.2,-0.5,-72.1,84.0,16.1,0.6,0.0,34.88,47860000.0,46420000.0,3.58,1.98,32.5,20.07 - 33.86,-1.65,65.92,74.72,0.92,840260.0,772703.0,0.06,-0.42,42.61,45.61,32.2,30.08,1.3,0.33,0.29 0.33,33.29,33.3,0.03
EVTC,"EVERTEC, Inc.",Technology | Software - Infrastructure | USA,-,2260000000.0,148900000.0,611900000.0,7.12,4.26,0.2,0.6,2500.0,Yes,Yes,2.6,16.3,12.6,7.88,3.69,4.69,7.84,10.99,2.9,2.9,0.89,0.85,-3.13,2.05,2.65,0.58,54.7,3.12,,17.0,8.7,7.7,-31.1,Aug 04 Ae6C,-7.65,0.9,-92.31,90.9,-0.31,13.0,31.5,18.9,55.9,31.0,24.3,4.8,-17.74,71480000.0,66460000.0,1.96,3.39,41.0,32.57 - 51.06,-34.65,2.46,36.95,1.01,383910.0,388667.0,-0.24,-15.8,-11.16,-15.07,-27.83,-33.23,0.96,0.98,2.03 3.08,33.81,33.37,-1.3
EXAS,Exact Sciences Corporation,Healthcare | Diagnostics & Research | USA,-,6410000000.0,-734500000.0,1940000000.0,18.2,4.1,-,,6420.0,Yes,Yes,1.7,-,-,-,3.31,1.98,8.81,-,2.2,2.5,0.7,0.7,-9.38,-4.23,-3.34,-1.08,36.2,27.9,-,-16.3,77.8,20.0,8.7,Aug 02 Ae6C,-16.3,0.9,-0.42,91.3,-3.41,-11.2,-22.1,-10.9,73.5,-37.1,-37.9,,-41.55,176360000.0,175400000.0,5.37,4.26,70.06,34.16 - 108.99,-66.89,5.65,38.07,0.85,2210000.0,1870183.0,-2.22,-26.9,-24.1,-48.97,-66.78,-53.63,1.37,2.31,4.76 5.48,36.24,36.09,-0.41
EXC,Exelon Corporation,Utilities | Utilities - Diversified | USA,S&P 500,44160000000.0,2540000000.0,28110000000.0,24.11,0.81,1.35,3.06,31518.0,Yes,Yes,2.2,17.03,18.25,1.06,1.57,1.83,54.12,-,0.8,0.9,1.64,1.53,-2.96,2.59,2.42,0.68,-13.4,7.0,,7.6,3.0,5.4,84.7,Aug 03 e9e6O,-1.62,0.1,-2.46,83.7,0.64,2.4,9.2,3.1,60.1,14.5,9.4,53.1,0.71,981000000.0,978350000.0,1.21,1.93,49.39,33.87 - 50.71,-13.07,30.14,41.91,1.13,6130000.0,6900283.0,-1.41,-2.17,-9.54,-0.45,23.39,7.02,0.49,0.94,2.41 1.90,44.45,44.08,-0.83
EXFY,"Expensify, Inc.",Technology | Software - Application | USA,-,1300000000.0,-38000000.0,161300000.0,1.15,1.38,-,,144.0,Yes,Yes,1.9,-,32.98,-,8.04,14.25,11.9,175.28,2.7,2.7,0.74,0.56,-20.59,-0.65,0.5,0.09,-55.4,45.75,-,,,-33.5,-141.7,Aug 11 Ae6C,-16.76,1.3,-1.35,48.3,22.56,-20.3,-64.2,-6.9,57.8,-23.6,-23.5,,-31.29,80470000.0,38130000.0,5.0,4.78,26.5,13.58 - 51.06,-67.9,20.69,32.62,1.04,399380.0,417305.0,-10.88,-21.58,-17.22,-11.45,,-62.75,-,1.28,6.46 6.85,17.16,16.39,-4.49
EXLS,"ExlService Holdings, Inc.",Technology | Information Technology Services | USA,-,5560000000.0,126800000.0,1260000000.0,20.53,7.85,-,,37400.0,Yes,Yes,2.4,44.11,25.72,3.39,4.41,8.02,20.97,39.41,2.1,2.1,0.42,0.37,-4.99,3.73,6.4,1.42,29.4,11.71,,13.4,10.3,26.1,30.0,Jul 28 e9e6O,2.94,0.3,-3.78,99.75,1.66,10.1,18.4,11.7,37.4,12.4,10.1,0.0,17.19,33400000.0,31890000.0,2.87,4.24,164.29,112.14 - 179.81,-8.41,46.85,43.38,0.96,215820.0,208212.0,-3.41,-3.45,12.03,33.6,33.39,13.75,0.92,4.04,2.18 1.99,168.19,164.68,-2.09
